Address to use,City,State,Zip,Plus_Four,State,District,Rep. Name,master_Bioguide_id,master_bioguide_id,master_firstname,master_lastname,master_state,master_district,,
300 East Locust Street,Des Moines,IA,50309,1825,IA,3,Tom Latham,L000111,L000111,Tom,Latham,IA,3,,USPS Lookup
27085 Gratiot Avenue,Roseville,MI,48066,2947,MI,9,Sander Levin,L000263,L000263,Sander,Levin,MI,9,,USPS Lookup
100 Peachtree Street Northwest,Atlanta,GA,30303,1906,GA,5,John Lewis,L000287,L000287,John,Lewis,GA,5,,USPS Lookup
635 North 1st Street,San Jose,CA,95112,5110,CA,19,Zoe Lofgren,L000397,L000397,Zoe,Lofgren,CA,19,,USPS Lookup
222 Mamaroneck Avenue,White Plains,NY,10605,1316,NY,17,Nita Lowey,L000480,L000480,Nita,Lowey,NY,17,,USPS Lookup
10952 Northwest Expressway,Yukon,OK,73099,8214,OK,3,Frank Lucas,L000491,L000491,Frank,Lucas,OK,3,,USPS Lookup
1301 Clay Street,Oakland,CA,94612,5233,CA,13,Barbara Lee,L000551,L000551,Barbara,Lee,CA,13,,USPS Lookup
,,,,,,,,,L000554,Frank,LoBiondo,NJ,2,,USPS Lookup
,,,,,,,,,L000557,John,Larson,CT,1,,USPS Lookup
,,,,,,,,,L000559,James,Langevin,RI,2,,USPS Lookup
2930 Wetmore Avenue,Everett,WA,98201,4070,WA,2,Rick Larsen,L000560,L000560,Rick,Larsen,WA,2,,USPS Lookup
1250 Hancock Street,Quincy,MA,02169,4331,MA,8,Stephen Lynch,L000562,L000562,Stephen,Lynch,MA,8,,USPS Lookup
5309 West 95th Street,Oak Lawn,IL,60453,2444,IL,3,Daniel Lipinski,L000563,L000563,Daniel,Lipinski,IL,3,,USPS Lookup
1271 Kelly Johnson Boulevard,Colorado Springs,CO,80920,3965,CO,5,Doug Lamborn,L000564,L000564,Doug,Lamborn,CO,5,,USPS Lookup
1 2nd Street,Calamus,IA,08861,4517,IA,2,David Loebsack,L000565,L000565,David,Loebsack,IA,2,,USPS Lookup
100 East Main Cross Street,Findlay,OH,45840,4888,OH,5,Robert Latta,L000566,L000566,Robert,Latta,OH,5,,USPS Lookup
425 North Avenue East,Westfield,NJ,07090,1537,NJ,7,Leonard Lance,L000567,L000567,Leonard,Lance,NJ,7,,USPS Lookup
516 Jefferson Street,Washington,MO,63090,2706,MO,3,Blaine Luetkemeyer,L000569,L000569,Blaine,Luetkemeyer,MO,3,,USPS Lookup
811 Saint Michaels Drive,Santa Fe,NM,87505,7640,NM,3,Ben Luján,L000570,L000570,Ben,Luján,NM,3,,USPS Lookup
45 East Loucks Street,Sheridan,WY,82801,6331,WY,0,Cynthia Lummis,L000571,L000571,Cynthia,Lummis,WY,0,,USPS Lookup
33 East Broadway Avenue,Meridian,ID,83642,2619,ID,1,Raúl Labrador,L000573,L000573,RaÃºl,Labrador,ID,1,,USPS Lookup
1015 North Broadway Avenue,Oklahoma City,OK,73102,5849,OK,5,James Lankford,L000575,L000575,James,Lankford,OK,5,,USPS Lookup
5500 Palisades Avenue,Battlefield,MO,07093,2124,MO,7,Billy Long,L000576,L000576,Billy,Long,MO,7,,USPS Lookup
280 Hemsted Drive,Redding,CA,96002,0164,CA,1,Doug LaMalfa,L000578,L000578,Doug,LaMalfa,CA,1,,USPS Lookup
100 West Broadway,Long Beach,CA,90802,4486,CA,47,Alan Lowenthal,L000579,L000579,Alan,Lowenthal,CA,47,,USPS Lookup
3211 Coors Boulevard Southwest,Albuquerque,NM,87121,5255,NM,1,Michelle Lujan Grisham,L000580,L000580,Michelle,Lujan Grisham,NM,1,,USPS Lookup
1651 3rd Avenue,New York,NY,10128,3679,NY,12,Carolyn Maloney,M000087,M000087,Carolyn,Maloney,NY,12,,USPS Lookup
300 Garden City Plaza,Garden City,NY,11530,3338,NY,4,Carolyn McCarthy,M000309,M000309,Carolyn,McCarthy,NY,4,,USPS Lookup
558 Pleasant Street,Northampton,MA,02740,6246,MA,2,James McGovern,M000312,M000312,James,McGovern,MA,2,,USPS Lookup
18560 1st Avenue Northeast,Shoreline,WA,98155,2150,WA,7,Jim McDermott,M000404,M000404,Jim,McDermott,WA,7,,USPS Lookup
201 North East Street,Roseboro,NC,92401,1520,NC,7,Mike McIntyre,M000485,M000485,Mike,McIntyre,NC,7,,USPS Lookup
26650 The Old Road,Valencia,CA,91381,0750,CA,25,Howard McKeon,M000508,M000508,Howard,McKeon,CA,25,,USPS Lookup
2461 West State Road 426,Oviedo,FL,32765,4508,FL,7,John Mica,M000689,M000689,John,Mica,FL,7,,USPS Lookup
1981 North Broadway,Walnut Creek,CA,94596,3877,CA,11,George Miller,M000725,M000725,George,Miller,CA,11,,USPS Lookup
200 South Courthouse Road,Arlington,VA,29360,,VA,8,James Moran,M000933,M000933,James,Moran,VA,8,,USPS Lookup
90-16 Rockaway Beach Boulevard,Queens,NY,11693,1530,NY,5,Gregory Meeks,M001137,M001137,Gregory,Meeks,NY,5,,USPS Lookup
1150 Brookside Avenue,Redlands,CA,92373,6314,CA,31,Gary Miller,M001139,M001139,Gary,Miller,CA,31,,USPS Lookup
240 East Morris Avenue,Salt Lake City,UT,84115,3296,UT,4,Jim Matheson,M001142,M001142,Jim,Matheson,UT,4,,USPS Lookup
6043 Hudson Road,Woodbury,MN,55125,1004,MN,4,Betty McCollum,M001143,M001143,Betty,McCollum,MN,4,,USPS Lookup
4300 Bayou Boulevard,Pensacola,FL,32503,2679,FL,1,Jeff Miller,M001144,M001144,Jeff,Miller,FL,1,,USPS Lookup
,,,,,,,,,M001149,Michael,Michaud,ME,2,,USPS Lookup
48701 Van Dyke Avenue,Shelby Township,MI,48317,2560,MI,10,Candice Miller,M001150,M001150,Candice,Miller,MI,10,,USPS Lookup
504 Washington Road,Pittsburgh,PA,15228,2817,PA,18,Tim Murphy,M001151,M001151,Tim,Murphy,PA,18,,USPS Lookup
311 East Marion Street,Shelby,NC,28151,4611,NC,10,Patrick McHenry,M001156,M001156,Patrick,McHenry,NC,10,,USPS Lookup
990 Village Square Drive,Tomball,TX,77375,4269,TX,10,Michael McCaul,M001157,M001157,Michael,McCaul,TX,10,,USPS Lookup
9901 Valley Ranch Parkway East,Irving,TX,75063,7186,TX,24,Kenny Marchant,M001158,M001158,Kenny,Marchant,TX,24,,USPS Lookup
29 South Palouse Street,Walla Walla,WA,99362,1925,WA,5,Cathy McMorris Rodgers,M001159,M001159,Cathy,McMorris Rodgers,WA,5,,USPS Lookup
219 North Milwaukee Street,Milwaukee,WI,53202,5818,WI,4,Gwen Moore,M001160,M001160,Gwen,Moore,WI,4,,USPS Lookup
600 I Street,Sacramento,CA,95814,4778,CA,6,Doris Matsui,M001163,M001163,Doris,Matsui,CA,6,,USPS Lookup
4100 Empire Drive,Bakersfield,CA,93309,0409,CA,23,Kevin McCarthy,M001165,M001165,Kevin,McCarthy,CA,23,,USPS Lookup
2222 Grand Canal Boulevard,Stockton,CA,95207,6671,CA,9,Jerry McNerney,M001166,M001166,Jerry,McNerney,CA,9,,USPS Lookup
100 South Clinton Street,Syracuse,NY,13261,6100,NY,24,Daniel Maffei,M001171,M001171,Daniel,Maffei,NY,24,,USPS Lookup
8700 Auburn Folsom Road,Auburn,CA,95746,8501,CA,4,Tom McClintock,M001177,M001177,Tom,McClintock,CA,4,,USPS Lookup
1000 Commerce Park Drive,Williamsport,PA,17701,5475,PA,10,Tom Marino,M001179,M001179,Tom,Marino,PA,10,,USPS Lookup
1125 Chapline Street,Wheeling,WV,26003,2976,WV,1,David McKinley,M001180,M001180,David,McKinley,WV,1,,USPS Lookup
107 Old Airport Road,Douglassville,PA,30474,8840,PA,7,Patrick Meehan,M001181,M001181,Patrick,Meehan,PA,7,,USPS Lookup
1456 Ebenezer Road,Rock Hill,SC,29732,2339,SC,5,Mick Mulvaney,M001182,M001182,Mick,Mulvaney,SC,5,,USPS Lookup
400 North Main Street,Williamstown,KY,41097,1026,KY,4,Thomas Massie,M001184,M001184,Thomas,Massie,KY,4,,USPS Lookup
16 James Street,Middletown,NY,10940,5787,NY,18,Sean Maloney,M001185,M001185,Sean,Maloney,NY,18,,USPS Lookup
125 Bonnie Lane,Sylva,NC,28779,8552,NC,11,Mark Meadows,M001187,M001187,Mark,Meadows,NC,11,,USPS Lookup
80-02 Kew Gardens Road,Queens,NY,11415,3605,NY,6,Grace Meng,M001188,M001188,Grace,Meng,NY,6,,USPS Lookup
107 West Charles Street,Muncie,IN,47305,2804,IN,6,Luke Messer,M001189,M001189,Luke,Messer,IN,6,,USPS Lookup
431 West Broadway Street,Muskogee,OK,74401,6614,OK,2,Markwayne Mullin,M001190,M001190,Markwayne,Mullin,OK,2,,USPS Lookup
171 Southwest Flagler Avenue,Stuart,FL,34994,2139,FL,18,Patrick Murphy,M001191,M001191,Patrick,Murphy,FL,18,,USPS Lookup
1900 Stubbs Avenue,Monroe,LA,71201,5751,LA,5,Vance McAllister,M001192,M001192,Vance,McAllister,LA,5,,USPS Lookup
201 Varick Street,New York,NY,10014,7069,NY,10,Jerrold Nadler,N000002,N000002,Jerrold,Nadler,NY,10,,USPS Lookup
,,,,,,,,,N000015,Richard,Neal,MA,1,,USPS Lookup
6448 Main Street,North Branch,MN,55056,7068,MN,8,Richard Nolan,N000127,N000127,Richard,Nolan,MN,8,,USPS Lookup
,,,,,,,,,N000147,Eleanor,Norton,DC,0,,USPS Lookup
510 East Foothill Boulevard,San Dimas,CA,91773,1254,CA,32,Grace Napolitano,N000179,N000179,Grace,Napolitano,CA,32,,USPS Lookup
113 North Church Street,Visalia,CA,93291,6300,CA,22,Devin Nunes,N000181,N000181,Devin,Nunes,CA,22,,USPS Lookup
611 University Avenue,Lubbock,TX,79401,2206,TX,19,Randy Neugebauer,N000182,N000182,Randy,Neugebauer,TX,19,,USPS Lookup
505 12th Street Southeast,Watertown,SD,57201,4973,SD,0,Kristi Noem,N000184,N000184,Kristi,Noem,SD,0,,USPS Lookup
115 Southeast 25th Avenue,Ocala,FL,34471,9179,FL,11,Richard Nugent,N000185,N000185,Richard,Nugent,FL,11,,USPS Lookup
337 East Main Street,Tupelo,MS,38804,4025,MS,1,Alan Nunnelee,N000186,N000186,Alan,Nunnelee,MS,1,,USPS Lookup
,,,,,,,,,N000187,Gloria,Negrete McLeod,CA,35,,USPS Lookup
1650 Highway 6,Sugar Land,TX,77478,4921,TX,22,Pete Olson,O000168,O000168,Pete,Olson,TX,22,,USPS Lookup
120 Washington Street,Watertown,NY,13601,3370,NY,21,William Owens,O000169,O000169,William,Owens,NY,21,,USPS Lookup
310 North Mesa Street,El Paso,TX,79901,1301,TX,16,Beto O'Rourke,O000170,O000170,Beto,O'Rourke,TX,16,,USPS Lookup
,,,,,,,,,P000034,Frank,Pallone,NJ,6,,USPS Lookup
200 Federal Plaza,Paterson,NJ,07505,1953,NJ,9,Bill Pascrell,P000096,P000096,Bill,Pascrell,NJ,9,,USPS Lookup
411 North Central Avenue,Phoenix,AZ,85004,2120,AZ,7,Ed Pastor,P000099,P000099,Ed,Pastor,AZ,7,,USPS Lookup
49 Leavenworth Street,San Francisco,CA,06702,2115,CA,12,Nancy Pelosi,P000197,P000197,Nancy,Pelosi,CA,12,,USPS Lookup
320 4th Street Southwest,Willmar,MN,56201,3300,MN,7,Collin Peterson,P000258,P000258,Collin,Peterson,MN,7,,USPS Lookup
2390 Highway 44,Oshkosh,WI,54904,6438,WI,6,Thomas Petri,P000265,P000265,Thomas,Petri,WI,6,,USPS Lookup
PO Box 837 ,Unionville,PA,19375,0837,PA,16,Joseph Pitts,P000373,P000373,Joseph,Pitts,PA,16,,USPS Lookup
5400 Trinity Road,Raleigh,NC,27607,3815,NC,4,David Price,P000523,P000523,David,Price,NC,4,,USPS Lookup
1717 West 2nd Street,Roswell,NM,88201,2029,NM,2,Stevan Pearce,P000588,P000588,Stevan,Pearce,NM,2,,USPS Lookup
3730 Roswell Road,Marietta,GA,30062,8818,GA,6,Tom Price,P000591,P000591,Tom,Price,GA,6,,USPS Lookup
1801 Kingwood Drive,Humble,TX,77339,3058,TX,2,Ted Poe,P000592,P000592,Ted,Poe,TX,2,,USPS Lookup
1200 East 78th Avenue,Denver,CO,80229,5930,CO,7,Ed Perlmutter,P000593,P000593,Ed,Perlmutter,CO,7,,USPS Lookup
250 Prairie Center Drive,Eden Prairie,MN,55344,7904,MN,3,Erik Paulsen,P000594,P000594,Erik,Paulsen,MN,3,,USPS Lookup
400 Monroe Street,Detroit,MI,48226,2944,MI,14,Gary Peters,P000595,P000595,Gary,Peters,MI,14,,USPS Lookup
,,,,,,,,,P000596,Pedro,Pierluisi,PR,0,,USPS Lookup
2 Portland Fish Pier,Portland,ME,04101,4633,ME,1,Chellie Pingree,P000597,P000597,Chellie,Pingree,ME,1,,USPS Lookup
123 North College Avenue,Fort Collins,CO,80524,2489,CO,2,Jared Polis,P000598,P000598,Jared,Polis,CO,2,,USPS Lookup
2725 Judge Fran Jamieson Way,Melbourne,FL,32940,6605,FL,8,Bill Posey,P000599,P000599,Bill,Posey,FL,8,,USPS Lookup
701 Main Street,Hattiesburg,MS,39401,3478,MS,4,Steven Palazzo,P000601,P000601,Steven,Palazzo,MS,4,,USPS Lookup
155 North Market Street,Wichita,KS,67202,1818,KS,4,Mike Pompeo,P000602,P000602,Mike,Pompeo,KS,4,,USPS Lookup
13 Municipal Plaza,Bloomfield,NJ,07003,3470,NJ,10,Donald Payne,P000604,P000604,Donald,Payne,NJ,10,,USPS Lookup
2209 East Market Street,East York,PA,17402,2853,PA,4,Scott Perry,P000605,P000605,Scott,Perry,PA,4,,USPS Lookup
6525 Morrison Boulevard,Charlotte,NC,28211,0501,NC,9,Robert Pittenger,P000606,P000606,Robert,Pittenger,NC,9,,USPS Lookup
10 East Doty Street,Madison,WI,53703,5103,WI,2,Mark Pocan,P000607,P000607,Mark,Pocan,WI,2,,USPS Lookup
,,,,,,,,,P000608,Scott,Peters,CA,52,,USPS Lookup
1057 West Belmont Avenue,Chicago,IL,60657,3327,IL,5,Mike Quigley,Q000023,Q000023,Mike,Quigley,IL,5,,USPS Lookup
220 Dingess Street,Logan,WV,25601,3626,WV,3,Nick Rahall,R000011,R000011,Nick,Rahall,WV,3,,USPS Lookup
163 West 125th Street,New York,NY,10027,4404,NY,13,Charles Rangel,R000053,R000053,Charles,Rangel,NY,13,,USPS Lookup
Clifty Street,Somerset,KY,42501,1782,KY,5,Harold Rogers,R000395,R000395,Harold,Rogers,KY,5,,USPS Lookup
610 Newport Center Drive,Newport Beach,CA,92660,8034,CA,48,Dana Rohrabacher,R000409,R000409,Dana,Rohrabacher,CA,48,,USPS Lookup
4960 Southwest 72nd Avenue,Miami,FL,33155,5544,FL,27,Ileana Ros-Lehtinen,R000435,R000435,Ileana,Ros-Lehtinen,FL,27,,USPS Lookup
4716 East Cesar E Chavez Avenue,East Los Angeles,CA,90022,1210,CA,40,Lucille Roybal-Allard,R000486,R000486,Lucille,Roybal-Allard,CA,40,,USPS Lookup
1800 East Lambert Road,Brea,CA,92821,4396,CA,39,Edward Royce,R000487,R000487,Edward,Royce,CA,39,,USPS Lookup
3235 147th Street,Midlothian,IL,60445,3656,IL,1,Bobby Rush,R000515,R000515,Bobby,Rush,IL,1,,USPS Lookup
216 6th Street,Racine,WI,53403,1216,WI,1,Paul Ryan,R000570,R000570,Paul,Ryan,WI,1,,USPS Lookup
1000 West Saint Joseph Street,Lansing,MI,48915,2552,MI,8,Mike Rogers,R000572,R000572,Mike,Rogers,MI,8,,USPS Lookup
1819 Pepperell Parkway,Opelika,AL,36801,5476,AL,3,Mike Rogers,R000575,R000575,Mike,Rogers,AL,3,,USPS Lookup
375 West Padonia Road,Lutherville-Timonium,MD,21093,2130,MD,2,C. Ruppersberger,R000576,R000576,C.,Ruppersberger,MD,2,,USPS Lookup
241 West Federal Street,Youngstown,OH,44503,1207,OH,13,Tim Ryan,R000577,R000577,Tim,Ryan,OH,13,,USPS Lookup
,,,,,,,,,R000578,David,Reichert,WA,8,,USPS Lookup
6262 Route 83,Willowbrook,IL,60527,2987,IL,6,Peter Roskam,R000580,R000580,Peter,Roskam,IL,6,,USPS Lookup
1609 College Park Drive,Morristown,TN,37813,1659,TN,1,David Roe,R000582,R000582,David,Roe,TN,1,,USPS Lookup
226 Taylor Street,Punta Gorda,FL,33950,4459,FL,17,Thomas Rooney,R000583,R000583,Thomas,Rooney,FL,17,,USPS Lookup
2 East 2nd Street,Jamestown,NY,14701,5206,NY,23,Tom Reed,R000585,R000585,Tom,Reed,NY,23,,USPS Lookup
7904 Day Drive,Parma,OH,44129,5637,OH,16,James Renacci,R000586,R000586,James,Renacci,OH,16,,USPS Lookup
333 West College Avenue,Appleton,WI,54911,5898,WI,8,Reid Ribble,R000587,R000587,Reid,Ribble,WI,8,,USPS Lookup
2021 Lakeshore Drive,New Orleans,LA,70122,3501,LA,2,Cedric Richmond,R000588,R000588,Cedric,Richmond,LA,2,,USPS Lookup
4772 Euclid Road,Virginia Beach,VA,23462,3800,VA,2,E. Rigell,R000589,R000589,E.,Rigell,VA,2,,USPS Lookup
7550 Halcyon Summit Drive,Montgomery,AL,36117,7008,AL,2,Martha Roby,R000591,R000591,Martha,Roby,AL,2,,USPS Lookup
2680 West Main Street,Pittsboro,IN,46167,2829,IN,4,Todd Rokita,R000592,R000592,Todd,Rokita,IN,4,,USPS Lookup
110 West Reynolds Street,Plant City,FL,33563,3377,FL,15,Dennis Ross,R000593,R000593,Dennis,Ross,FL,15,,USPS Lookup
108 Lacey Road,Lacey Township,NJ,08759,1331,NJ,3,Jon Runyan,R000594,R000594,Jon,Runyan,NJ,3,,USPS Lookup
1800 North Oak Street,Myrtle Beach,SC,29577,3141,SC,7,Tom Rice,R000597,R000597,Tom,Rice,SC,7,,USPS Lookup
118 West Main Street,Somerset,PA,15501,2047,PA,12,Keith Rothfus,R000598,R000598,Keith,Rothfus,PA,12,,USPS Lookup
707 East Tahquitz Canyon Way,Palm Springs,CA,92262,0101,CA,36,Raul Ruiz,R000599,R000599,Raul,Ruiz,CA,36,,USPS Lookup
,,,,,,,,,S000018,Matt,Salmon,AZ,5,,USPS Lookup
1110 East Chapman Avenue,Orange,CA,92866,2145,CA,46,Loretta Sanchez,S000030,S000030,Loretta,Sanchez,CA,46,,USPS Lookup
2000 Sam Rittenberg Boulevard,Charleston,SC,29407,4631,SC,1,Marshall Sanford,S000051,S000051,Marshall,Sanford,SC,1,,USPS Lookup
400 North 8th Street,Richmond,VA,23219,1321,VA,3,Robert Scott,S000185,S000185,Robert,Scott,VA,3,,USPS Lookup
120 Bishops Way,Brookfield,WI,53005,6294,WI,5,F. Sensenbrenner,S000244,S000244,F.,Sensenbrenner,WI,5,,USPS Lookup
1231 Lafayette Avenue,Bronx,NY,10474,5331,NY,15,José Serrano,S000248,S000248,JosÃ©,Serrano,NY,15,,USPS Lookup
12750 Merit Drive,Dallas,TX,75251,1229,TX,32,Pete Sessions,S000250,S000250,Pete,Sessions,TX,32,,USPS Lookup
5000 Van Nuys Boulevard,Los Angeles,CA,91403,1791,CA,30,Brad Sherman,S000344,S000344,Brad,Sherman,CA,30,,USPS Lookup
120 South Fair Street,Olney,IL,62450,2258,IL,15,John Shimkus,S000364,S000364,John,Shimkus,IL,15,,USPS Lookup
1280 Titus Avenue,Rochester,NY,14617,4125,NY,25,Louise Slaughter,S000480,S000480,Louise,Slaughter,NY,25,,USPS Lookup
2737 78th Avenue Southeast,Mercer Island,WA,98040,2843,WA,9,Adam Smith,S000510,S000510,Adam,Smith,WA,9,,USPS Lookup
1540 Kuser Road,Hamilton Township,NJ,08619,3828,NJ,4,Christopher Smith,S000522,S000522,Christopher,Smith,NJ,4,,USPS Lookup
1100 Northeast Interstate 410 Loop,San Antonio,TX,78209,1530,TX,21,Lamar Smith,S000583,S000583,Lamar,Smith,TX,21,,USPS Lookup
420 Green Avenue,Orange,TX,77630,5803,TX,36,Steve Stockman,S000937,S000937,Steve,Stockman,TX,36,,USPS Lookup
820 Davis Street,Evanston,IL,60201,4400,IL,9,Janice Schakowsky,S001145,S001145,Janice,Schakowsky,IL,9,,USPS Lookup
1341 Fillmore Street,Twin Falls,ID,83301,3392,ID,2,Michael Simpson,S001148,S001148,Michael,Simpson,ID,2,,USPS Lookup
1910 Sunset Boulevard,Los Angeles,CA,90026,3445,CA,28,Adam Schiff,S001150,S001150,Adam,Schiff,CA,28,,USPS Lookup
20 North Gallatin Avenue,Uniontown,PA,15401,3545,PA,9,Bill Shuster,S001154,S001154,Bill,Shuster,PA,9,,USPS Lookup
11627 Telegraph Road,Whittier,CA,90670,6810,CA,38,Linda Sánchez,S001156,S001156,Linda,SÃ¡nchez,CA,38,,USPS Lookup
888 Concord Road Southeast,Smyrna,GA,30080,4202,GA,13,David Scott,S001157,S001157,David,Scott,GA,13,,USPS Lookup
706 West Avenue,Jenkintown,PA,19046,2710,PA,13,Allyson Schwartz,S001162,S001162,Allyson,Schwartz,PA,13,,USPS Lookup
305 4th Street,Newark,NJ,01840,1445,NJ,8,Albio Sires,S001165,S001165,Albio,Sires,NJ,8,,USPS Lookup
600 Baltimore Avenue,Towson,MD,21204,4022,MD,3,John Sarbanes,S001168,S001168,John,Sarbanes,MD,3,,USPS Lookup
59 Elm Street,Manchester,NH,06510,2036,NH,1,Carol Shea-Porter,S001170,S001170,Carol,Shea-Porter,NH,1,,USPS Lookup
416 Valley View Drive,Scottsbluff,NE,69361,1445,NE,3,Adrian Smith,S001172,S001172,Adrian,Smith,NE,3,,USPS Lookup
400 South El Camino Real,San Mateo,CA,94402,1761,CA,14,Jackie Speier,S001175,S001175,Jackie,Speier,CA,14,,USPS Lookup
110 Veterans Memorial Boulevard,Metairie,LA,70005,4970,LA,1,Steve Scalise,S001176,S001176,Steve,Scalise,LA,1,,USPS Lookup
PO Box 504879 ,Capitol Hill,Saipan,96950,4310,MP,0,Gregorio Sablan,S001177,S001177,Gregorio,Sablan,MP,0,,USPS Lookup
3130 Chatham Road,Springfield,IL,62704,5379,IL,18,Aaron Schock,S001179,S001179,Aaron,Schock,IL,18,,USPS Lookup
494 State Street,Salem,OR,97301,3830,OR,5,Kurt Schrader,S001180,S001180,Kurt,Schrader,OR,5,,USPS Lookup
10603 North Hayden Road,Scottsdale,AZ,85260,5571,AZ,6,David Schweikert,S001183,S001183,David,Schweikert,AZ,6,,USPS Lookup
1118 Greensboro Avenue,Tuscaloosa,AL,35401,2861,AL,7,Terri Sewell,S001185,S001185,Terri,Sewell,AL,7,,USPS Lookup
3116 Capital Circle Northeast,Tallahassee,FL,32308,7791,FL,2,Steve Southerland,S001186,S001186,Steve,Southerland,FL,2,,USPS Lookup
61 East Main Street,Wilmington,OH,45177,2330,OH,15,Steve Stivers,S001187,S001187,Steve,Stivers,OH,15,,USPS Lookup
700 Park Avenue,Winona Lake,IN,46590,1066,IN,3,Marlin Stutzman,S001188,S001188,Marlin,Stutzman,IN,3,,USPS Lookup
230 Margie Drive,Warner Robins,GA,31088,7813,GA,8,Austin Scott,S001189,S001189,Austin,Scott,GA,8,,USPS Lookup
650 Dundee Road,Northbrook,IL,60062,2757,IL,10,Bradley Schneider,S001190,S001190,Bradley,Schneider,IL,10,,USPS Lookup
2400 East Arizona Biltmore Circle,Phoenix,AZ,85016,2195,AZ,9,Kyrsten Sinema,S001191,S001191,Kyrsten,Sinema,AZ,9,,USPS Lookup
7800 Route 201,Magna,UT,84088,4314,UT,2,Chris Stewart,S001192,S001192,Chris,Stewart,UT,2,,USPS Lookup
5776 Stoneridge Mall Road,Pleasanton,CA,94588,2836,CA,15,Eric Swalwell,S001193,S001193,Eric,Swalwell,CA,15,,USPS Lookup
35 Court Square,West Plains,MO,65775,3453,MO,8,Jason Smith,S001195,S001195,Jason,Smith,MO,8,,USPS Lookup
509 U.S. 82,Greenwood,MS,38930,5030,MS,2,Bennie Thompson,T000193,T000193,Bennie,Thompson,MS,2,,USPS Lookup
4245 Kemp Boulevard,Wichita Falls,TX,76308,2829,TX,13,Mac Thornberry,T000238,T000238,Mac,Thornberry,TX,13,,USPS Lookup
17 Peabody Square,Peabody,MA,01960,5646,MA,6,John Tierney,T000266,T000266,John,Tierney,MA,6,,USPS Lookup
11717 Burt Street,Omaha,NE,68154,1500,NE,2,Lee Terry,T000459,T000459,Lee,Terry,NE,2,,USPS Lookup
375 G Street,Vallejo,CA,94592,5706,CA,5,Mike Thompson,T000460,T000460,Mike,Thompson,CA,5,,USPS Lookup
1166 Military Road,Zanesville,OH,43701,1562,OH,12,Patrick Tiberi,T000462,T000462,Patrick,Tiberi,OH,12,,USPS Lookup
120 West 3rd Street,Dayton,OH,45402,1819,OH,10,Michael Turner,T000463,T000463,Michael,Turner,OH,10,,USPS Lookup
33 Lowell Street,Andover,MA,03101,1641,MA,3,Niki Tsongas,T000465,T000465,Niki,Tsongas,MA,3,,USPS Lookup
127 West Spring Street,Titusville,PA,16354,1727,PA,5,Glenn Thompson,T000467,T000467,Glenn,Thompson,PA,5,,USPS Lookup
2340 Paseo Del Prado,Las Vegas,NV,89102,4340,NV,1,Dina Titus,T000468,T000468,Dina,Titus,NV,1,,USPS Lookup
105 Jay Street,Schenectady,NY,12305,1905,NY,20,Paul Tonko,T000469,T000469,Paul,Tonko,NY,20,,USPS Lookup
503 North Main Street,Pueblo,CO,81003,3132,CO,3,Scott Tipton,T000470,T000470,Scott,Tipton,CO,3,,USPS Lookup
3400 Central Avenue,Riverside,CA,92506,2163,CA,41,Mark Takano,T000472,T000472,Mark,Takano,CA,41,,USPS Lookup
800 Ship Street,St. Joseph,MI,49085,2182,MI,6,Fred Upton,U000031,U000031,Fred,Upton,MI,6,,USPS Lookup
16 Court Street,Brooklyn,NY,11241,1010,NY,7,Nydia Velázquez,V000081,V000081,Nydia,VelÃ¡zquez,NY,7,,USPS Lookup
100 East Michigan Boulevard,Michigan City,IN,46360,3271,IN,1,Peter Visclosky,V000108,V000108,Peter,Visclosky,IN,1,,USPS Lookup
412 Malcolm Drive,Westminster,MD,21157,6174,MD,8,Chris Van Hollen,V000128,V000128,Chris,Van Hollen,MD,8,,USPS Lookup
,,,,,,,,,V000129,David,Valadao,CA,21,,USPS Lookup
333 F Street,Chula Vista,CA,91910,2624,CA,51,Juan Vargas,V000130,V000130,Juan,Vargas,CA,51,,USPS Lookup
1100 Circle Drive,Fort Worth,TX,76119,8111,TX,33,Marc Veasey,V000131,V000131,Marc,Veasey,TX,33,,USPS Lookup
1805 East Ruben M Torres Sr Boulevard,Brownsville,TX,78521,1115,TX,34,Filemon Vela,V000132,V000132,Filemon,Vela,TX,34,,USPS Lookup
10124 Broadway,Los Angeles,CA,90003,4353,CA,43,Maxine Waters,W000187,W000187,Maxine,Waters,CA,43,,USPS Lookup
8436 West 3rd Street,Los Angeles,CA,90048,4183,CA,33,Henry Waxman,W000215,W000215,Henry,Waxman,CA,33,,USPS Lookup
200 North Main Street,Tompkinsville,KY,42167,1548,KY,1,Ed Whitfield,W000413,W000413,Ed,Whitfield,KY,1,,USPS Lookup
110 North Cameron Street,Winchester,VA,22601,4730,VA,10,Frank Wolf,W000672,W000672,Frank,Wolf,VA,10,,USPS Lookup
843 East Main Street,Medford,OR,97504,7137,OR,2,Greg Walden,W000791,W000791,Greg,Walden,OR,2,,USPS Lookup
PO Box 2381 ,West Columbia,SC,29171,2381,SC,2,Joe Wilson,W000795,W000795,Joe,Wilson,SC,2,,USPS Lookup
1601 Highway 34,Newnan,GA,30265,1325,GA,3,Lynn Westmoreland,W000796,W000796,Lynn,Westmoreland,GA,3,,USPS Lookup
9293 Harding Avenue,Surfside,FL,33154,3009,FL,23,Debbie Wasserman Schultz,W000797,W000797,Debbie,Wasserman Schultz,FL,23,,USPS Lookup
