Address to use,City,State,Zip,Plus_Four,State,District,Rep. Name,Bio_ID
1800 East Lambert Road,Brea,CA,92821,4396,CA,39,Edward Royce,R000487
3235 147th Street,Midlothian,IL,60445,3656,IL,1,Bobby Rush,R000515
216 6th Street,Racine,WI,53403,1216,WI,1,Paul Ryan,R000570
1000 West Saint Joseph Street,Lansing,MI,48915,2552,MI,8,Mike Rogers,R000572
1819 Pepperell Parkway,Opelika,AL,36801,5476,AL,3,Mike Rogers,R000575
375 West Padonia Road,Lutherville-Timonium,MD,21093,2130,MD,2,C. Ruppersberger,R000576
241 West Federal Street,Youngstown,OH,44503,1207,OH,13,Tim Ryan,R000577
2 1st Street SE,Auburn,WA,98001,5453,WA,8,David Reichert,R000578
6262 Route 83,Willowbrook,IL,60527,2987,IL,6,Peter Roskam,R000580
1609 College Park Drive,Morristown,TN,37813,1659,TN,1,David Roe,R000582
226 Taylor Street,Punta Gorda,FL,33950,4459,FL,17,Thomas Rooney,R000583
2 East 2nd Street,Jamestown,NY,14701,5206,NY,23,Tom Reed,R000585
7904 Day Drive,Parma,OH,44129,5637,OH,16,James Renacci,R000586
333 West College Avenue,Appleton,WI,54911,5898,WI,8,Reid Ribble,R000587
2021 Lakeshore Drive,New Orleans,LA,70122,3501,LA,2,Cedric Richmond,R000588
4772 Euclid Road,Virginia Beach,VA,23462,3800,VA,2,E. Rigell,R000589
7550 Halcyon Summit Drive,Montgomery,AL,36117,7008,AL,2,Martha Roby,R000591
2680 West Main Street,Pittsboro,IN,46167,2829,IN,4,Todd Rokita,R000592
110 West Reynolds Street,Plant City,FL,33563,3377,FL,15,Dennis Ross,R000593
108 Lacey Road,Lacey Township,NJ,08759,1331,NJ,3,Jon Runyan,R000594
1800 North Oak Street,Myrtle Beach,SC,29577,3141,SC,7,Tom Rice,R000597
118 West Main Street,Somerset,PA,15501,2047,PA,12,Keith Rothfus,R000598
707 East Tahquitz Canyon Way,Palm Springs,CA,92262,0101,CA,36,Raul Ruiz,R000599
207 North Gilbert Road,Gilbert,AZ,85234,5812,AZ,5,Matt Salmon,S000018
1110 East Chapman Avenue,Orange,CA,92866,2145,CA,46,Loretta Sanchez,S000030
2000 Sam Rittenberg Boulevard,Charleston,SC,29407,4631,SC,1,Marshall Sanford,S000051
400 North 8th Street,Richmond,VA,23219,1321,VA,3,Robert Scott,S000185
120 Bishops Way,Brookfield,WI,53005,6294,WI,5,F. Sensenbrenner,S000244
1231 Lafayette Avenue,Bronx,NY,10474,5331,NY,15,José Serrano,S000248
12750 Merit Drive,Dallas,TX,75251,1229,TX,32,Pete Sessions,S000250
5000 Van Nuys Boulevard,Los Angeles,CA,91403,1791,CA,30,Brad Sherman,S000344
120 South Fair Street,Olney,IL,62450,2258,IL,15,John Shimkus,S000364
1280 Titus Avenue,Rochester,NY,14617,4125,NY,25,Louise Slaughter,S000480
2737 78th Avenue Southeast,Mercer Island,WA,98040,2843,WA,9,Adam Smith,S000510
1540 Kuser Road,Hamilton Township,NJ,08619,3828,NJ,4,Christopher Smith,S000522
1100 Northeast Interstate 410 Loop,San Antonio,TX,78209,1530,TX,21,Lamar Smith,S000583
420 Green Avenue,Orange,TX,77630,5803,TX,36,Steve Stockman,S000937
820 Davis Street,Evanston,IL,60201,4400,IL,9,Janice Schakowsky,S001145
1341 Fillmore Street,Twin Falls,ID,83301,3392,ID,2,Michael Simpson,S001148
1910 Sunset Boulevard,Los Angeles,CA,90026,3445,CA,28,Adam Schiff,S001150
20 North Gallatin Avenue,Uniontown,PA,15401,3545,PA,9,Bill Shuster,S001154
11627 Telegraph Road,Whittier,CA,90670,6810,CA,38,Linda Sánchez,S001156
888 Concord Road Southeast,Smyrna,GA,30080,4202,GA,13,David Scott,S001157
706 West Avenue,Jenkintown,PA,19046,2710,PA,13,Allyson Schwartz,S001162
305 4th Street,Newark,NJ,01840,1445,NJ,8,Albio Sires,S001165
600 Baltimore Avenue,Towson,MD,21204,4022,MD,3,John Sarbanes,S001168
59 Elm Street,Manchester,NH,06510,2036,NH,1,Carol Shea-Porter,S001170
416 Valley View Drive,Scottsbluff,NE,69361,1445,NE,3,Adrian Smith,S001172
400 South El Camino Real,San Mateo,CA,94402,1761,CA,14,Jackie Speier,S001175
110 Veterans Memorial Boulevard,Metairie,LA,70005,4970,LA,1,Steve Scalise,S001176
PO Box 504879 ,Capitol Hill,Saipan,96950,4310,MP,0,Gregorio Sablan,S001177
3130 Chatham Road,Springfield,IL,62704,5379,IL,18,Aaron Schock,S001179
494 State Street,Salem,OR,97301,3830,OR,5,Kurt Schrader,S001180
10603 North Hayden Road,Scottsdale,AZ,85260,5571,AZ,6,David Schweikert,S001183
1118 Greensboro Avenue,Tuscaloosa,AL,35401,2861,AL,7,Terri Sewell,S001185
3116 Capital Circle Northeast,Tallahassee,FL,32308,7791,FL,2,Steve Southerland,S001186
61 East Main Street,Wilmington,OH,45177,2330,OH,15,Steve Stivers,S001187
700 Park Avenue,Winona Lake,IN,46590,1066,IN,3,Marlin Stutzman,S001188
230 Margie Drive,Warner Robins,GA,31088,7813,GA,8,Austin Scott,S001189
650 Dundee Road,Northbrook,IL,60062,2757,IL,10,Bradley Schneider,S001190
2400 East Arizona Biltmore Circle,Phoenix,AZ,85016,2195,AZ,9,Kyrsten Sinema,S001191
7800 Route 201,Magna,UT,84088,4314,UT,2,Chris Stewart,S001192
5776 Stoneridge Mall Road,Pleasanton,CA,94588,2836,CA,15,Eric Swalwell,S001193
35 Court Square,West Plains,MO,65775,3453,MO,8,Jason Smith,S001195
509 U.S. 82,Greenwood,MS,38930,5030,MS,2,Bennie Thompson,T000193
4245 Kemp Boulevard,Wichita Falls,TX,76308,2829,TX,13,Mac Thornberry,T000238
17 Peabody Square,Peabody,MA,01960,5646,MA,6,John Tierney,T000266
11717 Burt Street,Omaha,NE,68154,1500,NE,2,Lee Terry,T000459
375 G Street,Vallejo,CA,94592,5706,CA,5,Mike Thompson,T000460
1166 Military Road,Zanesville,OH,43701,1562,OH,12,Patrick Tiberi,T000462
120 West 3rd Street,Dayton,OH,45402,1819,OH,10,Michael Turner,T000463
33 Lowell Street,Andover,MA,03101,1641,MA,3,Niki Tsongas,T000465
127 West Spring Street,Titusville,PA,16354,1727,PA,5,Glenn Thompson,T000467
2340 Paseo Del Prado,Las Vegas,NV,89102,4340,NV,1,Dina Titus,T000468
105 Jay Street,Schenectady,NY,12305,1905,NY,20,Paul Tonko,T000469
503 North Main Street,Pueblo,CO,81003,3132,CO,3,Scott Tipton,T000470
3400 Central Avenue,Riverside,CA,92506,2163,CA,41,Mark Takano,T000472
800 Ship Street,St. Joseph,MI,49085,2182,MI,6,Fred Upton,U000031
16 Court Street,Brooklyn,NY,11241,1010,NY,7,Nydia Velázquez,V000081
100 East Michigan Boulevard,Michigan City,IN,46360,3271,IN,1,Peter Visclosky,V000108
412 Malcolm Drive,Westminster,MD,21157,6174,MD,8,Chris Van Hollen,V000128
2700 M Street,Bakersfield,CA,93301,2374,CA,21,David Valadao,V000129
333 F Street,Chula Vista,CA,91910,2624,CA,51,Juan Vargas,V000130
1100 Circle Drive,Fort Worth,TX,76119,8111,TX,33,Marc Veasey,V000131
1805 East Ruben M Torres Sr Boulevard,Brownsville,TX,78521,1115,TX,34,Filemon Vela,V000132
10124 Broadway,Los Angeles,CA,90003,4353,CA,43,Maxine Waters,W000187
8436 West 3rd Street,Los Angeles,CA,90048,4183,CA,33,Henry Waxman,W000215
200 North Main Street,Tompkinsville,KY,42167,1548,KY,1,Ed Whitfield,W000413
110 North Cameron Street,Winchester,VA,22601,4730,VA,10,Frank Wolf,W000672
843 East Main Street,Medford,OR,97504,7137,OR,2,Greg Walden,W000791
PO Box 2381 ,West Columbia,SC,29171,2381,SC,2,Joe Wilson,W000795
1601 Highway 34,Newnan,GA,30265,1325,GA,3,Lynn Westmoreland,W000796
9293 Harding Avenue,Surfside,FL,33154,3009,FL,23,Debbie Wasserman Schultz,W000797
23 East Front Street,Monroe,MI,48161,2256,MI,7,Tim Walberg,W000798
1134 7th Street Northwest,Rochester,MN,55901,1732,MN,1,Timothy Walz,W000799
32 Main Street,Burlington,VT,03561,4072,VT,0,Peter Welch,W000800
4904 George Washington Memorial Highway,Yorktown,VA,23692,2769,VA,1,Robert Wittman,W000804
300 West Plant Street,Winter Garden,FL,34787,3009,FL,10,Daniel Webster,W000806
10100 Pines Boulevard,Pembroke Pines,FL,33026,6040,FL,24,Frederica Wilson,W000808
3333 South Pinnacle Hills Parkway,Rogers,AR,72758,8979,AR,3,Steve Womack,W000809
75 Langley Drive,Lawrenceville,GA,30046,6935,GA,7,Rob Woodall,W000810
8764 Manchester Road,Brentwood,MO,63144,2735,MO,2,Ann Wagner,W000812
207 East Colfax Avenue,South Bend,IN,46601,1606,IN,2,Jackie Walorski,W000813
122 West Way Street,Lake Jackson,TX,77566,5245,TX,14,Randy Weber,W000814
602 Chillicothe Street,Portsmouth,OH,45662,4262,OH,2,Brad Wenstrup,W000815
115 South Main Street,Cleburne,TX,76033,5501,TX,25,Roger Williams,W000816
540 Water Street,Ketchikan,AK,99901,6378,AK,0,Don Young,Y000033
7219 Dixie Highway,Louisville,KY,40258,3756,KY,3,John Yarmuth,Y000062
500 State Avenue,Kansas City,KS,66101,2409,KS,3,Kevin Yoder,Y000063
Quartermaster Court,Jeffersonville,IN,47130,3669,IN,9,Todd Young,Y000064
1726 Kingsley Avenue,Orange Park,FL,32073,4411,FL,3,Ted Yoho,Y000065
