104 South Main Street,Greenville,SC,29601,2742,SC,4,Trey Gowdy,G000566
200 Derbigny Street,Gretna,LA,70053,5876,LA,2,Cedric Richmond,R000588
1325 25th Avenue,Gulfport,MS,39501,,MS,4,Steven Palazzo,P000601
25 Main Street,Schenevus,NY,7601,7089,NY,19,Christopher Gibson,G000564
515 Grove Street,Brandon,VT,8035,1733,VT,0,Peter Welch,W000800
Father Duenas Avenue,Hagåtña,,96910,5058,GU,0,Madeleine Bordallo,B001245
1800 Dual Highway,Hagerstown,MD,21742,6646,MD,6,John Delaney,D000620
1540 Kuser Road,Hamilton Township,NJ,8619,3828,NJ,4,Christopher Smith,S000522
112 South Cate Street,Hammond,LA,70403,,LA,1,Steve Scalise,S001176
201 North 3rd Street,Hannibal,MO,63401,3550,MO,6,Sam Graves,G000546
110 East Locust Street,Harrisburg,IL,62946,1557,IL,15,John Shimkus,S000364
1721 North Front Street,Harrisburg,PA,17102,2391,PA,4,Scott Perry,P000605
303 North Main Street,Harrison,AR,72601,3508,AR,3,Steve Womack,W000809
2 South Main Street,Harrisonburg,VA,22801,3728,VA,6,Bob Goodlatte,G000289
1909 North Commercial Street,Harrisonville,MO,64701,1252,MO,4,Vicky Hartzler,H001053
221 2nd Main Street,Elroy,WI,6106,1864,WI,3,Ron Kind,K000188
701 Main Street,Hattiesburg,MS,39401,3478,MS,4,Steven Palazzo,P000601
150 Motor Parkway,Hauppauge,NY,11788,5152,NY,1,Timothy Bishop,B001242
10 Welcome Street,Greenville,SC,1830,5631,SC,4,Trey Gowdy,G000566
601 Main Street,Hazard,KY,41701,1354,KY,5,Harold Rogers,R000395
1 South Church Street,Hazleton,PA,18201,6200,PA,11,Lou Barletta,B001269
950 North Montana Avenue,Helena,MT,59601,3858,MT,0,Steve Daines,D000618
1600 East Florida Avenue,Hemet,CA,92544,8639,CA,36,Raul Ruiz,R000599
222 1st Street,Henderson,KY,42420,3821,KY,1,Ed Whitfield,W000413
133 East Commerce Street,Hernando,MS,38632,2343,MS,1,Alan Nunnelee,N000186
13873 Park Center Drive,Live Oak,FL,20171,3248,FL,3,Ted Yoho,Y000065
87 4th Street Northwest,Huron,SD,28603,6142,SD,0,Kristi Noem,N000184
1634 North Main Street,High Point,NC,27262,2644,NC,6,Howard Coble,C000556
200 East Broadway Street,Hobbs,NM,88240,8425,NM,2,Stevan Pearce,P000588
184 South River Avenue,Holland,MI,49423,2848,MI,2,Bill Huizenga,H001058
310 Penn Street,Hollidaysburg,PA,16648,2004,PA,9,Bill Shuster,S001154
57 Suffolk Street,Buffalo,NY,1040,5055,NY,26,Brian Higgins,H001038
17926 South Halsted Street,Homewood,IL,60430,2029,IL,2,Robin Kelly,K000385
300 Ala Moana Boulevard,Honolulu,HI,96850,4104,HI,1,Colleen Hanabusa,H001050
300 Ala Moana Boulevard,Honolulu,HI,96850,5104,HI,1,Colleen Hanabusa,H001050
1403 South Main Street,Hopkinsville,KY,42240,2107,KY,1,Ed Whitfield,W000413
300 Exchange Street,West Monroe,LA,71901,4034,LA,5,Vance McAllister,M001192
423 Lafayette Street,Houma,LA,70360,4802,LA,1,Steve Scalise,S001176
1919 Smith Street,Houston,TX,77002,8098,TX,18,Sheila Jackson Lee,J000032
420 West 19th Street,Houston,TX,77008,3914,TX,18,Sheila Jackson Lee,J000032
3300 Lyons Avenue,Houston,TX,77020,8254,TX,18,Sheila Jackson Lee,J000032
10000 Memorial Drive,Houston,TX,77024,3490,TX,2,Ted Poe,P000592
77029. Sokak (28. Sk.),Adana,Adana Province,77029,1951,not found,not found,,
3003 South Loop West Freeway,Houston,TX,77054,1301,TX,9,Al Green,G000553
17225 El Camino Real,Houston,TX,77058,2778,TX,36,Steve Stockman,S000937
256 North Sam Houston Parkway East,Houston,TX,77060,2028,TX,29,Gene Green,G000410
1550 Foxlake Drive,Houston,TX,77084,6043,TX,7,John Culberson,C001048
6719 West Montgomery Road,Houston,TX,77091,3105,TX,18,Sheila Jackson Lee,J000032
101 Main Street,Huntington Beach,CA,92648,8149,CA,48,Dana Rohrabacher,R000409
845 5th Avenue,Huntington,WV,25701,2086,WV,3,Nick Rahall,R000011
2101 Clinton Avenue West,Huntsville,AL,35805,3109,AL,5,Mo Brooks,B001274
1202 Sam Houston Avenue,Huntsville,TX,77340,4638,TX,8,Kevin Brady,B000755
1 Main Street,Burlington,VT,67504,5228,VT,0,Peter Welch,W000800
297 North Street,Nacogdoches,TX,2061,5134,TX,1,Louie Gohmert,G000552
6475 New Hampshire Avenue,Hyattsville,MD,20783,3281,MD,4,Donna Edwards,E000290
410 Memorial Drive,Idaho Falls,ID,83402,3600,ID,2,Michael Simpson,S001148
1101 Airport Road,Bethlehem,PA,92215,1800,PA,15,Charles Dent,D000604
211 West Maple Avenue,Independence,MO,64050,2815,MO,5,Emanuel Cleaver,C001061
827 Water Street,Indiana,PA,15701,3923,PA,9,Bill Shuster,S001154
300 East Fall Creek Parkway North Drive,Indianapolis,IN,46205,4258,IN,7,André Carson,C001072
Keystone Crossing,Indianapolis,IN,46240,7646,IN,5,Susan Brooks,B001284
125 South Dubuque Street,Iowa City,IA,52240,4003,IA,2,David Loebsack,L000565
500 South Stephenson Avenue,Iron Mountain,MI,49920,3420,MI,1,Dan Benishek,B001271
9901 Valley Ranch Parkway East,Irving,TX,75063,7186,TX,24,Kenny Marchant,M001158
87000 Overseas Highway,Islamorada,FL,33036,3110,FL,26,Joe Garcia,G000573
123 South Cayuga Street,Ithaca,NY,14850,5582,NY,23,Tom Reed,R000585
74-09 37th Avenue,Queens,NY,11372,6303,NY,14,Joseph Crowley,C001038
800 West Ganson Street,Jackson,MI,49202,4203,MI,7,Tim Walberg,W000798
3607 Medgar Evers Boulevard,Jackson,MS,39213,6364,MS,2,Bennie Thompson,T000193
109 South Highland Avenue,Jackson,TN,38301,6123,TN,8,Stephen Fincher,F000458
101 East Union Street,Jacksonville,FL,32202,6002,FL,5,Corrine Brown,B000911
1061 Riverside Avenue,Jacksonville,FL,32204,4151,FL,4,Ander Crenshaw,C001045
209 West State Street,Jacksonville,IL,62650,2001,IL,18,Aaron Schock,S001179
153-01 Jamaica Avenue,Queens,NY,11432,3870,NY,5,Gregory Meeks,M001137
2 East 2nd Street,Jamestown,NY,14701,5206,NY,23,Tom Reed,R000585
20 South Main Street,Janesville,WI,53545,3959,WI,1,Paul Ryan,R000570
1710 Alabama Avenue,Jasper,AL,35501,5400,AL,4,Robert Aderholt,A000055
2409 Hyde Park Road,Jefferson City,MO,65109,4732,MO,3,Blaine Luetkemeyer,L000569
Quartermaster Court,Jeffersonville,IN,47130,3669,IN,9,Todd Young,Y000064
706 West Avenue,Jenkintown,PA,19046,2710,PA,13,Allyson Schwartz,S001162
253 Martin Luther King Jr. Drive,Madison,FL,7305,3427,FL,3,Ted Yoho,Y000065
130 Central Avenue,Albany,NY,7306,2118,NY,20,Paul Tonko,T000469
35 Journal Square,Hamilton,OH,7306,4317,OH,8,John Boehner,B000589
647 Main Street,Johnstown,PA,15901,2140,PA,12,Keith Rothfus,R000598
2701 Black Road,Joliet,IL,60435,8412,IL,11,Bill Foster,F000454
2400 East Highland Drive,Jonesboro,AR,72401,6229,AR,1,Eric Crawford,C001087
173 North Main Street,Jonesboro,GA,30236,3567,GA,13,David Scott,S001157
2727 East 32nd Street,Joplin,MO,64804,3156,MO,7,Billy Long,L000576
,Juneau,AK,99802,1247,AK,0,Don Young,Y000033
157 South Kalamazoo Mall,Kalamazoo,MI,49007,4861,MI,6,Fred Upton,U000031
500 State Avenue,Kansas City,KS,66101,2409,KS,3,Kevin Yoder,Y000063
101 West 31st Street,Kansas City,MO,64108,3318,MO,5,Emanuel Cleaver,C001061
805 Frontage Road,Kenai,AK,99611,9104,AK,0,Don Young,Y000033
874 North Lima Road,Kendallville,IN,46755,1152,IN,3,Marlin Stutzman,S001188
5455 Sheridan Road,Kenosha,WI,53140,4129,WI,1,Paul Ryan,R000570
301 Junction Highway,Kerrville,TX,78029,4273,TX,21,Lamar Smith,S000583
540 Water Street,Ketchikan,AK,99901,6378,AK,0,Don Young,Y000033
80-02 Kew Gardens Road,Queens,NY,11415,3605,NY,6,Grace Meng,M001188
1100 Simonton Street,Key West,FL,33040,3110,FL,26,Joe Garcia,G000573
,Kinderhook,NY,12106,774,NY,19,Christopher Gibson,G000564
,Kingsport,TN,37662,1728,TN,1,David Roe,R000582
291 Wall Street,Kingston,NY,12401,3849,NY,19,Christopher Gibson,G000564
1801 Kingwood Drive,Humble,TX,77339,3058,TX,2,Ted Poe,P000592
800 Market Street,Knoxville,TN,37902,2303,TN,2,John Duncan,D000533
100 South Union Street,Kokomo,IN,46901,4608,IN,4,Todd Rokita,R000592
205 5th Avenue South,La Crosse,WI,54601,4059,WI,3,Ron Kind,K000188
1211 Washington Avenue,La Grande,OR,97850,2535,OR,2,Greg Walden,W000791
26 South La Grange Road,La Grange,IL,60525,2015,IL,3,Daniel Lipinski,L000563
813 Lincolnway,La Porte,IN,46350,3400,IN,2,Jackie Walorski,W000813
108 Lafayette Square,LaFayette,GA,30728,3507,GA,14,Tom Graves,G000560
800 Lafayette Street,Lafayette,LA,70501,6800,LA,3,Charles Boustany,B001255
1 Lakeshore Drive,Lake Charles,LA,70629,114,LA,3,Charles Boustany,B001255
212 North Marion Avenue,Lake City,FL,32055,3917,FL,3,Ted Yoho,Y000065
122 West Way Street,Lake Jackson,TX,77566,5245,TX,14,Randy Weber,W000814
170 Fitzgerald Road,Lakeland,FL,33813,2607,FL,15,Dennis Ross,R000593
12600 West Colfax Avenue,Lakewood,CO,80215,3779,CO,7,Ed Perlmutter,P000593
14400 Detroit Avenue,Lakewood,OH,44107,4408,OH,9,Marcy Kaptur,K000009
301 South 5th Street,Lamar,CO,81052,2711,CO,4,Cory Gardner,G000562
207 South Broad Street,Lancaster,OH,43130,4307,OH,15,Steve Stivers,S001187
150 North Queen Street,Lancaster,PA,17603,3562,PA,16,Joseph Pitts,P000373
1717 Newtown Pike,Langhorne,PA,19047,1086,PA,8,Michael Fitzpatrick,F000451
1000 West Saint Joseph Street,Lansing,MI,48915,2552,MI,8,Mike Rogers,R000572
602 East Calton Road,Laredo,TX,78041,3693,TX,28,Henry Cuellar,C001063
570 North Telshor Boulevard,Las Cruces,NM,88011,8223,NM,2,Stevan Pearce,P000588
26111 Antonio Parkway,Rancho Santa Margari,CA,92688,5597,CA,45,John Campbell,C001064
,Las Vegas,NM,87701,1368,NM,3,Ben Luján,L000570
600 South Las Vegas Boulevard,Las Vegas,NV,89101,6646,NV,1,Dina Titus,T000468
2340 Paseo Del Prado,Las Vegas,NV,89102,4340,NV,1,Dina Titus,T000468
8485 West Sunset Road,Las Vegas,NV,89113,2251,NV,3,Joseph Heck,H001055
200 South Courthouse Road,Arlington,VA,29360,,VA,8,James Moran,M000933
305 4th Street,Newark,NJ,1840,1445,NJ,8,Albio Sires,S001165
75 Langley Drive,Lawrenceville,GA,30046,6935,GA,7,Rob Woodall,W000810
711 Southwest D Avenue,Lawton,OK,73501,4561,OK,4,Tom Cole,C001053
108 West Jefferson Street,La Grange,KY,40031,1108,KY,4,Thomas Massie,M001184
219 North Adams Avenue,Lebanon,MO,65536,3029,MO,4,Vicky Hartzler,H001053
758 Cumberland Street,Lebanon,PA,17042,5247,PA,6,Jim Gerlach,G000549
103 North 3rd Street,Leesville,LA,71446,4013,LA,4,John Fleming,F000456
310 Main Street,Lewiston,ID,83501,1820,ID,1,Raúl Labrador,L000573
9975 Highway 37,Ogdensburg,NY,4240,7248,NY,21,William Owens,O000169
1660 Stemmons Freeway,Lewisville,TX,75067,600,TX,26,Michael Burgess,B001248
1010 Monarch Street,Lexington,KY,40513,1866,KY,6,Garland Barr,B001282
113 West Blue Jay Drive,Liberty,MO,64068,1963,MO,6,Sam Graves,G000546
609 South 1st Street,Lillington,NC,27546,6693,NC,4,David Price,P000523
3121 West Elm Street,Lima,OH,45805,2516,OH,4,Jim Jordan,J000289
301 South 13th Street,Lincoln,NE,68508,2532,NE,1,Jeff Fortenberry,F000449
5700 Hillandale Drive,Lithonia,GA,30058,4104,GA,4,Henry Johnson,J000288
1501 North University Avenue,Little Rock,AR,72207,,AR,2,Tim Griffin,G000567
32 Main Street,Burlington,VT,3561,4072,VT,0,Peter Welch,W000800
Foust Drive,Livingston,AL,35470,2099,AL,7,Terri Sewell,S001185
,Livingston,LA,70754,426,LA,6,Bill Cassidy,C001075
17197 North Laurel Park Drive,Livonia,MI,48152,7919,MI,11,Kerry Bentivolio,B001280
104 West Sandstone Street,Llano,TX,78643,2319,TX,11,K. Conaway,C001062
220 Dingess Street,Logan,WV,25601,3626,WV,3,Nick Rahall,R000011
300 Broadway,New York,NY,46747,3182,NY,10,Jerrold Nadler,N000002
9220 Kimmer Drive,Lone Tree,CO,80124,2884,CO,4,Cory Gardner,G000562
100 West Broadway,Long Beach,CA,90802,4486,CA,47,Alan Lowenthal,L000579
504 Broadway,New York,NY,7740,5951,NY,10,Jerrold Nadler,N000002
101 West Methvin Street,Longview,TX,75601,7200,TX,1,Louie Gohmert,G000552
205 West 20th Street,Lorain,OH,44052,3777,OH,9,Marcy Kaptur,K000009
10124 Broadway,Los Angeles,CA,90003,4353,CA,43,Maxine Waters,W000187
4322 Wilshire Boulevard,Los Angeles,CA,90010,3794,CA,37,Karen Bass,B001270
255 East Temple Street,Los Angeles,CA,90012,3334,CA,34,Xavier Becerra,B000287
4716 East Cesar E Chavez Avenue,East Los Angeles,CA,90022,1210,CA,40,Lucille Roybal-Allard,R000486
1910 Sunset Boulevard,Los Angeles,CA,90026,3445,CA,28,Adam Schiff,S001150
8436 West 3rd Street,Los Angeles,CA,90048,4183,CA,33,Henry Waxman,W000215
3445 Lambros Road,Parkville,MD,87031,6472,MD,3,John Sarbanes,S001168
600 Doctor Martin Luther King Junior Place,Louisville,KY,40202,2285,KY,3,John Yarmuth,Y000062
7219 Dixie Highway,Louisville,KY,40258,3756,KY,3,John Yarmuth,Y000062
11 3rd Street,Gibbon,NE,1852,1941,NE,3,Adrian Smith,S001172
611 University Avenue,Lubbock,TX,79401,2206,TX,19,Randy Neugebauer,N000182
300 East Shepherd Avenue,Lufkin,TX,75901,3252,TX,1,Louie Gohmert,G000552
500 North Cedar Street,Lumberton,NC,28358,4891,NC,8,Richard Hudson,H001067
916 Main Street,Lynchburg,VA,24504,1600,VA,6,Bob Goodlatte,G000289
1902 412,Finström,Ahvenanmaan maalaiskunta,1902,1019,not found,not found,,
10 East Doty Street,Madison,WI,53703,5103,WI,2,Mark Pocan,P000607
100 East Sybelia Avenue,Maitland,FL,32751,4700,FL,7,John Mica,M000689
33 Lowell Street,Andover,MA,3101,1641,MA,3,Niki Tsongas,T000465
21454 Koop Road,Mandeville,LA,70471,7513,LA,1,Steve Scalise,S001176
227 East Main Street,Mankato,MN,56001,3573,MN,1,Timothy Walz,W000799
24 West 3rd Street,Mansfield,OH,44902,1243,OH,12,Patrick Tiberi,T000462
490 East 63rd Street Ocean,Marathon,FL,33050,4720,FL,26,Joe Garcia,G000573
5790 Margate Boulevard,Margate,FL,33063,3614,FL,21,Theodore Deutch,D000610
219 Roswell Street,Marietta,GA,30060,2063,GA,11,Phil Gingrey,G000550
3730 Roswell Road,Marietta,GA,30062,8818,GA,6,Tom Price,P000591
258 Front Street,Marietta,OH,45750,2908,OH,6,Bill Johnson,J000292
209 South Washington Street,Marion,IN,46952,3803,IN,5,Susan Brooks,B001284
,Marks,MS,38646,356,MS,2,Bennie Thompson,T000193
255 Main Street,Buffalo,NY,1752,5505,NY,26,Brian Higgins,H001038
307 South Front Street,Marquette,MI,49855,4613,MI,1,Dan Benishek,B001271
1420 East College Drive,Marshall,MN,56258,2065,MN,7,Collin Peterson,P000258
102 West Houston Street,Marshall,TX,75670,4038,TX,1,Louie Gohmert,G000552
300 Foxcroft Avenue,Martinsburg,WV,25401,5341,WV,2,Shelley Capito,C001047
200 East Broadway Avenue,Maryville,TN,37804,5782,TN,2,John Duncan,D000533
1003 Park Boulevard,Massapequa Park,NY,11762,2758,NY,2,Peter King,K000210
5914 Main Street,Williamsville,NY,8330,1746,NY,26,Brian Higgins,H001038
201 Government Street,Maysville,KY,41056,1385,KY,4,Thomas Massie,M001184
118 East Carl Albert Parkway,McAlester,OK,74501,5040,OK,2,Markwayne Mullin,M001190
627 Lysle Boulevard,McKeesport,PA,15132,2524,PA,14,Michael Doyle,D000482
1800 North Graves Street,McKinney,TX,75069,3322,TX,3,Sam Johnson,J000174
5 High Street,Glen Iris,VIC,2155,3800,not found,not found,,
843 East Main Street,Medford,OR,97504,7137,OR,2,Greg Walden,W000791
2725 Judge Fran Jamieson Way,Melbourne,FL,32940,6605,FL,8,Bill Posey,P000599
167 North Main Street,Memphis,TN,38103,1822,TN,9,Steve Cohen,C001068
7975 Stage Hills Boulevard,Memphis,TN,38133,4036,TN,8,Stephen Fincher,F000458
2222 M Street,Merced,CA,95340,3729,CA,16,Jim Costa,C001059
2737 78th Avenue Southeast,Mercer Island,WA,98040,2843,WA,9,Adam Smith,S000510
26 West Main Street,Little Falls,NY,6450,4109,NY,22,Richard Hanna,H001051
33 East Broadway Avenue,Meridian,ID,83642,2619,ID,1,Raúl Labrador,L000573
1901 Front Street,Meridian,MS,39301,5006,MS,3,Gregg Harper,H001045
7895 Broadway,Merrillville,IN,46410,5529,IN,1,Peter Visclosky,V000108
1640 South Stapley Drive,Mesa,AZ,85204,6666,AZ,9,Kyrsten Sinema,S001191
110 Veterans Memorial Boulevard,Metairie,LA,70005,4970,LA,1,Steve Scalise,S001176
777 17th Street,Miami Beach,FL,33139,1895,FL,23,Debbie Wasserman Schultz,W000797
18425 Northwest 2nd Avenue,Miami Gardens,FL,33169,4532,FL,24,Frederica Wilson,W000808
4960 Southwest 72nd Avenue,Miami,FL,33155,5544,FL,27,Ileana Ros-Lehtinen,R000435
12851 Southwest 42nd Street,Miami,FL,33175,,FL,26,Joe Garcia,G000573
100 East Michigan Boulevard,Michigan City,IN,46360,3271,IN,1,Peter Visclosky,V000108
245 deKoven Drive,Middletown,CT,6457,3460,CT,3,Rosa DeLauro,D000216
16 James Street,Middletown,NY,10940,5787,NY,18,Sean Maloney,M001185
135 Ashman Street,Midland,MI,48640,5103,MI,4,Dave Camp,C000071
6 Desta Drive,Midland,TX,79705,5520,TX,11,K. Conaway,C001062
3235 147th Street,Midlothian,IL,60445,3656,IL,1,Bobby Rush,R000515
2 Congress Street,Portland,ME,1757,4128,ME,1,Chellie Pingree,P000597
213 West Huron Street,Milford Township,MI,48381,2252,MI,11,Kerry Bentivolio,B001280
127 East Hancock Street,Milledgeville,GA,31061,3413,GA,10,Paul Broun,B001262
219 North Milwaukee Street,Milwaukee,WI,53202,5818,WI,4,Gwen Moore,M001160
2100 Plymouth Avenue North,Minneapolis,MN,55411,3675,MN,5,Keith Ellison,E000288
117 East Tom Landry Street,Mission,TX,78572,4610,TX,28,Henry Cuellar,C001063
200 Civic Center Drive,Augusta,ME,92691,5519,ME,1,Chellie Pingree,P000597
301 East Broadway Street,Missoula,MT,59802,4478,MT,0,Steve Daines,D000618
11 North Water Street,Mobile,AL,36602,5000,AL,1,Bradley Byrne,B001289
1010 10th Street,Modesto,CA,95354,877,CA,10,Jeff Denham,D000612
3509 Coffee Road,Modesto,CA,95355,1356,CA,10,Jeff Denham,D000612
3000 41st Street,Moline,IL,61265,7859,IL,17,Cheri Bustos,B001286
1900 Stubbs Avenue,Monroe,LA,71201,5751,LA,5,Vance McAllister,M001192
23 East Front Street,Monroe,MI,48161,2256,MI,7,Tim Walberg,W000798
100 North 1st Street,Montevideo,MN,56265,,MN,7,Collin Peterson,P000258
22 Monroe Street,Clayton,NM,36104,3617,NM,3,Ben Luján,L000570
7550 Halcyon Summit Drive,Montgomery,AL,36117,7008,AL,2,Martha Roby,R000591
18 Anawana Lake Road,Monticello,NY,12701,3200,NY,19,Christopher Gibson,G000564
30 2nd Street,Ilion,NY,7960,5128,NY,22,Richard Hanna,H001051
1609 College Park Drive,Morristown,TN,37813,1659,TN,1,David Roe,R000582
106 Green Street West,Mound Bayou,MS,38762,9594,MS,2,Bennie Thompson,T000193
1001 North Market Street,Mount Carmel,IL,62863,1948,IL,15,John Shimkus,S000364
4167 Church Road,Mount Laurel,NJ,8054,2220,NJ,3,Jon Runyan,R000594
6 Gramatan Avenue,Mount Vernon,NY,10550,3208,NY,16,Eliot Engel,E000179
107 West Charles Street,Muncie,IN,47305,2804,IN,6,Luke Messer,M001189
305 West Main Street,Murfreesboro,TN,37130,3547,TN,4,Scott DesJarlais,D000616
75 Peachtree Street,Murphy,NC,28906,2947,NC,11,Mark Meadows,M001187
900 3rd Street,Muskegon,MI,49440,1135,MI,2,Bill Huizenga,H001058
431 West Broadway Street,Muskogee,OK,74401,6614,OK,2,Markwayne Mullin,M001190
1800 North Oak Street,Myrtle Beach,SC,29577,3141,SC,7,Tom Rice,R000597
101 West Main Street,Nacogdoches,TX,75961,4830,TX,1,Louie Gohmert,G000552
1040 Main Street,Napa,CA,94559,2605,CA,5,Mike Thompson,T000460
3301 Tamiami Trail East,Naples,FL,34112,3969,FL,19,,
4715 Golden Gate Parkway,Naples,FL,34116,,FL,25,Mario Diaz-Balart,D000600
221 Main Street,Buffalo,NY,3060,2913,NY,26,Brian Higgins,H001038
605 Church Street,Nashville,TN,37219,2314,TN,5,Jim Cooper,C000754
2124 Freeport Road,Natrona Heights,PA,15065,1527,PA,12,Keith Rothfus,R000598
229 North 4th Street,Highlands,NC,6770,4145,NC,11,Mark Meadows,M001187
558 Pleasant Street,Northampton,MA,2740,6246,MA,2,James McGovern,M000312
James Bowie Drive,New Boston,TX,75570,2328,TX,4,Ralph Hall,H000067
114 West Main Street,Santa Maria,CA,6051,4223,CA,24,Lois Capps,C001036
67-69 Church Street,Worcestershire,,8901,1242,not found,not found,,
59 Elm Street,Manchester,NH,6510,2036,NH,1,Carol Shea-Porter,S001170
301 East Saint Peter Street,New Iberia,LA,70560,3787,LA,3,Charles Boustany,B001255
2021 Lakeshore Drive,New Orleans,LA,70122,3501,LA,2,Cedric Richmond,R000588
173 Avenue B,New York,NY,10009,4656,NY,12,Carolyn Maloney,M000087
201 Varick Street,New York,NY,10014,7069,NY,10,Jerrold Nadler,N000002
163 West 125th Street,New York,NY,10027,4404,NY,13,Charles Rangel,R000053
1651 3rd Avenue,New York,NY,10128,3679,NY,12,Carolyn Maloney,M000087
50 Walnut Street,Danville,PA,7102,3596,PA,11,Lou Barletta,B001269
1601 Highway 34,Newnan,GA,30265,1325,GA,3,Lynn Westmoreland,W000796
610 Newport Center Drive,Newport Beach,CA,92660,8034,CA,48,Dana Rohrabacher,R000409
2600 Washington Avenue,Newport News,VA,23607,4333,VA,3,Robert Scott,S000185
29 Crafts Street,Newton,MA,2458,1275,MA,4,Joseph Kennedy,K000379
93 Main Street,Buffalo,NY,7860,2056,NY,26,Brian Higgins,H001038
1910 Pine Avenue,Niagara Falls,NY,14301,2310,NY,26,Brian Higgins,H001038
125 South 4th Street,Norfolk,NE,68701,5200,NE,1,Jeff Fortenberry,F000449
2420 Springer Drive,Norman,OK,73069,3965,OK,4,Tom Cole,C001053
6448 Main Street,North Branch,MN,55056,7068,MN,8,Richard Nolan,N000127
1362 McMillan Avenue,North Charleston,SC,29405,2049,SC,6,James Clyburn,C000537
650 Dundee Road,Northbrook,IL,60062,2757,IL,10,Bradley Schneider,S001190
11 East Main Street,Norwalk,OH,44857,1512,OH,4,Jim Jordan,J000289
101 Water Street,Augusta,ME,6360,5730,ME,1,Chellie Pingree,P000597
5309 West 95th Street,Oak Lawn,IL,60453,2444,IL,3,Daniel Lipinski,L000563
200 Administration Road,Oak Ridge,TN,37839,8823,TN,3,Charles Fleischmann,F000459
1301 Clay Street,Oakland,CA,94612,5233,CA,13,Barbara Lee,L000551
115 Southeast 25th Avenue,Ocala,FL,34471,9179,FL,11,Richard Nugent,N000185
411 South 5th Street,Iota,LA,79761,4422,LA,3,Charles Boustany,B001255
324 East 2500 South,Ogden,UT,84401,2361,UT,1,Rob Bishop,B001250
1015 North Broadway Avenue,Oklahoma City,OK,73102,5849,OK,5,James Lankford,L000575
120 South Fair Street,Olney,IL,62450,2258,IL,15,John Shimkus,S000364
11717 Burt Street,Omaha,NE,68154,1500,NE,2,Lee Terry,T000459
131 Main Street,Oneida,NY,13421,1641,NY,22,Richard Hanna,H001051
1819 Pepperell Parkway,Opelika,AL,36801,5476,AL,3,Mike Rogers,R000575
1726 Kingsley Avenue,Orange Park,FL,32073,4411,FL,3,Ted Yoho,Y000065
1110 East Chapman Avenue,Orange,CA,92866,2145,CA,46,Loretta Sanchez,S000030
420 Green Avenue,Orange,TX,77630,5803,TX,36,Steve Stockman,S000937
621 High Street,Oregon City,OR,97045,2240,OR,5,Kurt Schrader,S001180
219 Lime Avenue,Orlando,FL,32805,2248,FL,5,Corrine Brown,B000911
770 West Granada Boulevard,Ormond Beach,FL,32174,5180,FL,6,Ron DeSantis,D000621
2390 Highway 44,Oshkosh,WI,54904,6438,WI,6,Thomas Petri,P000265
2461 West State Road 426,Oviedo,FL,32765,4508,FL,7,John Mica,M000689
2200 Airport Road,Owensboro,KY,42301,9488,KY,2,Brett Guthrie,G000558
100 Fountain Avenue,Paducah,KY,42001,2771,KY,1,Ed Whitfield,W000413
10 Box Canyon Road,Canoga Park,CA,96799,230,CA,25,Howard McKeon,M000508
1 Victoria Square,Painesville,OH,44077,3406,OH,14,David Joyce,J000295
613 Saint Johns Avenue,Palatka,FL,32177,4643,FL,5,Corrine Brown,B000911
1 Florida Park Drive South,Palm Coast,FL,32137,3801,FL,6,Ron DeSantis,D000621
35111 US Highway 19 North,Palm Harbor,FL,34684,1934,FL,12,Gus Bilirakis,B001257
707 East Tahquitz Canyon Way,Palm Springs,CA,92262,101,CA,36,Raul Ruiz,R000599
1008 West Avenue M 14,Palmdale,CA,93551,1441,CA,25,Howard McKeon,M000508
698 Emerson Street,Palo Alto,CA,94301,1609,CA,18,Anna Eshoo,E000215
840 West 11th Street,Panama City,FL,32401,2336,FL,2,Steve Southerland,S001186
7904 Day Drive,Parma,OH,44129,5637,OH,16,James Renacci,R000586
87 North Raymond Avenue,Pasadena,CA,91103,3966,CA,27,Judy Chu,C001080
2715 Saint Andrews Loop,Pasco,WA,99301,3386,WA,4,Doc Hastings,H000329
330 Passaic Street,Passaic,NJ,7055,5815,NJ,9,Bill Pascrell,P000096
200 Federal Plaza,Paterson,NJ,7505,1953,NJ,9,Bill Pascrell,P000096
249 Roosevelt Avenue,San Antonio,TX,2860,2134,TX,35,Lloyd Doggett,D000399
17 Peabody Square,Peabody,MA,1960,5646,MA,6,John Tierney,T000266
2507B Old Brandon Road,Pearl,MS,39208,4604,MS,3,Gregg Harper,H001045
10100 Pines Boulevard,Pembroke Pines,FL,33026,6040,FL,24,Frederica Wilson,W000808
11 Duff Road,Pittsburgh,PA,15235,3263,PA,14,Michael Doyle,D000482
4300 Bayou Boulevard,Pensacola,FL,32503,2679,FL,1,Jeff Miller,M001144
100 Northeast Monroe Street,Peoria,IL,61602,1047,IL,17,Cheri Bustos,B001286
1 2nd Street,Calamus,IA,8861,4517,IA,2,David Loebsack,L000565
200 Division Street,Petoskey,MI,49770,2465,MI,1,Dan Benishek,B001271
4104 Walnut Street,Philadelphia,PA,19104,3598,PA,2,Chaka Fattah,F000043
6632 Germantown Avenue,Philadelphia,PA,19119,2250,PA,2,Chaka Fattah,F000043
2630 Memphis Street,Philadelphia,PA,19125,2344,PA,1,Robert Brady,B001227
2637 East Clearfield Street,Philadelphia,PA,19134,5023,PA,1,Robert Brady,B001227
7219 Frankford Avenue,Philadelphia,PA,19135,1010,PA,1,Robert Brady,B001227
