District,Title,AddressLine2,AddressLine1,AddressLine3,AddressLine4,Telephone,Fax,LastName,
VA04,US Representative,US House of Representatives,The Honorable J. Randy Forbes,505 Independence Parkway Suite 104,"Chesapeake, VA 23320-5178",(757) 382-0080,(757) 382-0780,Forbes,23320-5178
IL12,US Representative,US House of Representatives,The Honorable Jerry F. Costello,1330 Swanwick Street ,"Chester, IL 62233-1314",(618) 826-3043,(618) 826-1923,Costello,62233-1314
MD01,US Representative,US House of Representatives,The Honorable Andy Harris,100 Olde Point Village Suite 101,"Chester, MD 21619-2140",(410) 643-5425,(410) 643-5429,Harris,21619-2140
PA01,US Representative,US House of Representatives,The Honorable Robert A. Brady,511-13 Welsh Street First Floor,"Chester, PA 19013-4453",(610) 874-7094,(610) 874-7193,Brady,19013-4453
VA04,US Representative,US House of Representatives,The Honorable J. Randy Forbes,9401 Courthouse Road Suite 201,"Chesterfield, VA 23832-6685",(804) 318-1363,(804) 318-1013,Forbes,23832-6685
WY01,US Representative,US House of Representatives,The Honorable Cynthia M. Lummis,2120 Capitol Avenue Suite 8005,"Cheyenne, WY 82001-3631",(307) 772-2595,(307) 772-2597,Lummis,82001-3631
IL05,US Representative,US House of Representatives,The Honorable Mike Quigley,3742 West Irving Park Road ,"Chicago, IL 60618-3116",(773) 267-5926,(773) 267-6583,Quigley,60618-3116
IL01,US Representative,US House of Representatives,The Honorable Bobby L. Rush,700-706 East 79th Street ,"Chicago, IL 60619-3036",(773) 224-6500,(773) 224-9624,Rush,60619-3036
IL07,US Representative,US House of Representatives,The Honorable Danny K. Davis,3333 West Arthington Street Suite 130,"Chicago, IL 60624-4102",(773) 533-7520,(773) 533-7530,Davis,60624-4102
IL03,US Representative,US House of Representatives,The Honorable Daniel W. Lipinski,6245 South Archer Avenue ,"Chicago, IL 60638-2609",(312) 886-0481,(773) 767-9395,Lipinski,60638-2609
IL09,US Representative,US House of Representatives,The Honorable Jan D. Schakowsky,5533 North Broadway Street Suite Two,"Chicago, IL 60640-1405",(773) 506-7100,(773) 506-9202,Schakowsky,60640-1405
IL04,US Representative,US House of Representatives,The Honorable Luis V. Gutierrez,2201 West North Avenue ,"Chicago, IL 60647-5429",(773) 342-0774,(773) 342-0776,Gutierrez,60647-5429
IL02,US Representative,US House of Representatives,The Honorable Jesse L. Jackson,7121 South Yates Boulevard ,"Chicago, IL 60649-2529",(773) 734-9660,(773) 734-9661,Jackson,60649-2529
IL05,US Representative,US House of Representatives,The Honorable Mike Quigley,1057 West Belmont Avenue ,"Chicago, IL 60657-3327",,,Quigley,60657-3327
CA02,US Representative,US House of Representatives,The Honorable Wally Herger,2635 Forest Avenue Suite 100,"Chico, CA 95928-4425",(530) 893-8363,(530) 893-8619,Herger,95928-4425
CA51,US Representative,US House of Representatives,The Honorable Bob Filner,333 F Street Suite A,"Chula Vista, CA 91910-2624",(619) 422-5963,(619) 422-7290,Filner,91910-2624
OH01,US Representative,US House of Representatives,The Honorable Steve Chabot,441 Vine Street Suite 3003,"Cincinnati, OH 45202-3003",(513) 684-2723,(513) 421-8722,Chabot,45202-3003
OH02,US Representative,US House of Representatives,The Honorable Jean Schmidt,8044 Montgomery Road Suite 170,"Cincinnati, OH 45236-2926",(513) 791-0381,(513) 791-1696,Schmidt,45236-2926
AL06,US Representative,US House of Representatives,The Honorable Spencer T. Bachus,PO Box 502 ,"Clanton, AL 35046-0502",(205) 280-0704,(205) 280-3060,Bachus,35046-0502
OK02,US Representative,US House of Representatives,The Honorable Dan Boren,309 West First Street ,"Claremore, OK 74017-8005",(918) 341-9336,(918) 342-4806,Boren,74017-8005
TN07,US Representative,US House of Representatives,The Honorable Marsha Blackburn,1850 Memorial Drive ,"Clarksville, TN 37043-4603",(931) 503-0391,(931) 503-0393,Blackburn,37043-4603
IA04,US Representative,US House of Representatives,The Honorable Tom Latham,PO Box 532 ,"Clear Lake, IA 50428-0532",(641) 357-5225,(641) 357-5226,Latham,50428-0532
TX17,US Representative,US House of Representatives,The Honorable Bill Flores,115 South Main Street Suite 202,"Cleburne, TX 76033-5501",(817) 744-2551,,Flores,76033-5501
NC05,US Representative,US House of Representatives,The Honorable Virginia Foxx,6000 Meadowbrook Mall Court Suite 3,"Clemmons, NC 27012-8775",(336) 778-0211,(336) 778-2290,Foxx,27012-8775
CA21,US Representative,US House of Representatives,The Honorable Devin G. Nunes,264 Clovis Avenue Suite 206,"Clovis, CA 93612-1115",(559) 323-5235,(559) 323-5528,Nunes,93612-1115
ID01,US Representative,US House of Representatives,The Honorable Raul R. Labrador,1250 Ironwood Drive #243,"Coeur d'Alene, ID 83814-2723",(208) 667-0127,(208) 667-0310,Labrador,83814-2723
IL19,US Representative,US House of Representatives,The Honorable John M. Shimkus,240 Regency Centre ,"Collinsville, IL 62234-3019",(618) 344-3065,(618) 344-4215,Shimkus,62234-3019
CO05,US Representative,US House of Representatives,The Honorable Doug Lamborn,1271 Kelly Johnson Boulevard Suite 110,"Colorado Springs, CO 80920-3965",(719) 520-0055,(719) 520-0840,Lamborn,80920-3965
MO09,US Representative,US House of Representatives,The Honorable Blaine Luetkemeyer,3609 South Providence Road Suite A,"Columbia, MO 65201-3721",(573) 443-1041,(573) 443-1050,Luetkemeyer,65201-3721
SC06,US Representative,US House of Representatives,The Honorable James E. Clyburn,1225 Lady Street Suite 200,"Columbia, SC 29201-3347",(803) 799-1100,(803) 799-9060,Clyburn,29201-3347
TN04,US Representative,US House of Representatives,The Honorable Scott DesJarlais,807 Garden Street ,"Columbia, TN 38401-3262",(931) 381-9920,(931) 381-9945,DesJarlais,38401-3262
GA02,US Representative,US House of Representatives,The Honorable Sanford D. Bishop,18 Ninth Street Suite 201,"Columbus, GA 31901-2778",(706) 320-9477,(706) 320-9479,Bishop,31901-2778
OH15,US Representative,US House of Representatives,The Honorable Steve Stivers,1299 Olentangy River Road Suite 200,"Columbus, OH 43212-3129",(614) 299-6415,(614) 299-9601,Stivers,43212-3129
OH12,US Representative,US House of Representatives,The Honorable Patrick J. Tiberi,3000 Corporate Exchange Drive Suite 310,"Columbus, OH 43231-4054",(614) 523-2555,(614) 818-0887,Tiberi,43231-4054
WA05,US Representative,US House of Representatives,The Honorable Cathy McMorris Rodgers,555 South Main Street ,"Colville, WA 99114-2503",(509) 684-3481,(509) 353-2412,McMorris Rodgers,99114-2503
CA07,US Representative,US House of Representatives,The Honorable George Miller,1333 Willow Pass Road Suite 203,"Concord, CA 94520-7931",(925) 602-1880,(925) 674-0983,Miller,94520-7931
NC08,US Representative,US House of Representatives,The Honorable Larry Kissell,325 McGill Avenue Suite 500,"Concord, NC 28027-6194",(704) 786-1612,(704) 782-1004,Kissell,28027-6194
NH02,US Representative,US House of Representatives,The Honorable Charles F. Bass,114 North Main Street Suite 200,"Concord, NH 03301-4962",(603) 226-0064,(603) 226-0085,Bass,03301-4962
TX08,US Representative,US House of Representatives,The Honorable Kevin Brady,200 River Pointe Drive Suite 304,"Conroe, TX 77304-2817",(936) 441-5700,(936) 441-5757,Brady,77304-2817
OR04,US Representative,US House of Representatives,The Honorable Peter A. DeFazio,PO Box 1557 ,"Coos Bay, OR 97420-0333",(541) 269-2609,(541) 269-5760,DeFazio,97420-0333
NY01,US Representative,US House of Representatives,The Honorable Tim H. Bishop,3680 Route 112 Suite C,"Coram, NY 11727-4140",(631) 696-6500,(631) 696-4520,Bishop,11727-4140
PA14,US Representative,US House of Representatives,The Honorable Mike F. Doyle,1350 Fifth Avenue ,"Coraopolis, PA 15108-2024",(412) 264-3460,,Doyle,15108-2024
NY29,US Representative,US House of Representatives,The Honorable Tom W. Reed,89 West Market Street ,"Corning, NY 14830-2526",,(607) 654-7568,Reed,14830-2526
TX27,US Representative,US House of Representatives,The Honorable Blake Farenthold,1718 South Alameda ,"Corpus Christi, TX 78404-2931",(361) 883-5868,(361) 884-9201,Farenthold,78404-2931
NY24,US Representative,US House of Representatives,The Honorable Richard L. Hanna,18 Tompkins Street ,"Cortland, NY 13045-2541",(607) 756-2470,(607) 756-2472,Hanna,13045-2541
IA05,US Representative,US House of Representatives,The Honorable Steve A. King,40 Pearl Street ,"Council Bluffs, IA 51503-0817",(712) 325-1404,(712) 325-1405,King,51503-0817
IA05,US Representative,US House of Representatives,The Honorable Steve A. King,PO Box 601 ,"Creston, IA 50801-0601",(641) 782-2495,(641) 782-2497,King,50801-0601
TX06,US Representative,US House of Representatives,The Honorable Joe Barton,303 North 6th Street ,"Crockett, TX 75835-1611",(936) 544-8488,,Barton,75835-1611
TN04,US Representative,US House of Representatives,The Honorable Scott DesJarlais,62 East Second Street ,"Crossville, TN 38555-4564",(931) 707-9091,(931) 707-9100,DesJarlais,38555-4564
MO03,US Representative,US House of Representatives,The Honorable Russ Carnahan,517 Bailey Road ,"Crystal City, MO 63019-1701",(636) 937-8039,(636) 937-7138,Carnahan,63019-1701
IL16,US Representative,US House of Representatives,The Honorable Donald A. Manzullo,101 North Virginia Street Suite 170,"Crystal Lake, IL 60014-3456",(815) 356-9800,(815) 356-9803,Manzullo,60014-3456
AL04,US Representative,US House of Representatives,The Honorable Robert B. Aderholt,"205 Fourth Avenue, NE Suite 104","Cullman, AL 35055-1965",(256) 734-6043,(256) 737-0885,Aderholt,35055-1965
VA07,US Representative,US House of Representatives,The Honorable Eric Cantor,763 Madison Road Suite 207,"Culpeper, VA 22701-3342",(540) 825-8960,(540) 825-8964,Cantor,22701-3342
MD06,US Representative,US House of Representatives,The Honorable Roscoe G. Bartlett,1 Frederick Street Suite 2,"Cumberland, MD 21502-2309",(301) 724-3105,(301) 724-3538,Bartlett,21502-2309
TX30,US Representative,US House of Representatives,The Honorable Eddie Bernice Johnson,3102 Maple Avenue Suite 600,"Dallas, TX 75201-1236",(214) 922-8885,(214) 922-7028,Johnson,75201-1236
TX05,US Representative,US House of Representatives,The Honorable Jeb Hensarling,6510 Abrams Road Suite 243,"Dallas, TX 75231-7278",(214) 349-9996,(214) 349-0738,Hensarling,75231-7278
TX32,US Representative,US House of Representatives,The Honorable Pete Sessions,12750 Merit Drive Suite 1434,"Dallas, TX 75251-1229",(972) 392-0505,(972) 392-0615,Sessions,75251-1229
GA09,US Representative,US House of Representatives,The Honorable Tom Graves,702 Glenwood Ave ,"Dalton, GA 30721-2624",(706) 226-5320,(706) 278-0840,Graves,30721-2624
CT05,US Representative,US House of Representatives,The Honorable Chris S. Murphy,198 Main Street ,"Danbury, CT 06810-6662",(203) 798-2072,,Murphy,06810-6662
VA05,US Representative,US House of Representatives,The Honorable Robert Hurt,308 Craghead Street Suite 102-D,"Danville, VA 24541-1468",(434) 791-2596,(434) 791-4619,Hurt,24541-1468
IA01,US Representative,US House of Representatives,The Honorable Bruce L. Braley,209 West 4th Street Suite 104,"Davenport, IA 52801-1307",(563) 323-5988,(563) 323-5231,Braley,52801-1307
OH03,US Representative,US House of Representatives,The Honorable Michael R. Turner,120 West Third Street Suite 305,"Dayton, OH 45402-1819",(937) 225-2843,(937) 225-2752,Turner,45402-1819
MI15,US Representative,US House of Representatives,The Honorable John D. Dingell,19855 West Outer Drive Suite 103-E,"Dearborn, MI 48124-2028",(313) 278-2936,(313) 278-3914,Dingell,48124-2028
AL05,US Representative,US House of Representatives,The Honorable Mo Brooks,302 Lee Street Room 86,"Decatur, AL 35601-1926",(256) 335-9400,(256) 335-9406,Brooks,35601-1926
AL04,US Representative,US House of Representatives,The Honorable Robert B. Aderholt,PO Box 668 ,"Decatur, AL 35602-0668",(256) 350-4093,(256) 350-5056,Aderholt,35602-0668
OH05,US Representative,US House of Representatives,The Honorable Bob Latta,101 Clinton Street Suite 1200,"Defiance, OH 43512-2165",(419) 782-1996,(419) 784-9808,Latta,43512-2165
TX23,US Representative,US House of Representatives,The Honorable Francisco R. Canseco,309 Mills Street ,"Del Rio, TX 78840-5165",,,Canseco,78840-5165
FL07,US Representative,US House of Representatives,The Honorable John L. Mica,840 Deltona Boulevard Suite G,"Deltona, FL 32725-7162",(386) 860-1499,(386) 860-5730,Mica,32725-7162
AL07,US Representative,US House of Representatives,The Honorable Terri A. Sewell,186 Field of Dreams Drive ,"Demopolis, AL 36732",(334) 287-0860,(334) 877-4489,Sewell,36732
CO01,US Representative,US House of Representatives,The Honorable Diana DeGette,600 Grant Street Suite 202,"Denver, CO 80203-3525",(303) 844-4988,(303) 844-4996,DeGette,80203-3525
CT03,US Representative,US House of Representatives,The Honorable Rosa L. DeLauro,12 Main Street Conference Room,"Derby, CT 06418-1931",(203) 735-5005,,DeLauro,06418-1931
IA03,US Representative,US House of Representatives,The Honorable Leonard L. Boswell,300 East Locust Street Suite 320,"Des Monies, IA 50309-1825",(515) 282-1909,(515) 282-1785,Boswell,50309-1825
MN07,US Representative,US House of Representatives,The Honorable Collin C. Peterson,714 Lake Avenue Suite 107,"Detroit Lakes, MN 56501-3057",(218) 847-5056,(218) 847-5109,Peterson,56501-3057
MI14,US Representative,US House of Representatives,The Honorable John Conyers,231 West Lafayette Boulevard Room 669,"Detroit, MI 48226-2766",(313) 961-5670,(313) 226-2085,Conyers,48226-2766
MI13,US Representative,US House of Representatives,The Honorable Hansen Clarke,400 Monroe Street Suite 290,"Detroit, MI 48226-2944",(313) 962-7700,,Clarke,48226-2944
IL14,US Representative,US House of Representatives,The Honorable Randy Hultgren,119 West First Street ,"Dixon, IL 61021-3056",(815) 288-1174,(815) 288-1175,Hultgren,61021-3056
KS01,US Representative,US House of Representatives,The Honorable Tim Huelskamp,100 Military Avenue Suite 204,"Dodge City, KS 67801-4945",(620) 225-0172,(620) 225-0297,Huelskamp,67801-4945
FL21,US Representative,US House of Representatives,The Honorable Mario Diaz-Balart,8669 NW 36th Street Suite 100,"Doral, FL 33166-6640",(305) 470-8555,(305) 470-8575,Diaz-Balart,33166-6640
AL02,US Representative,US House of Representatives,The Honorable Martha Roby,188 North Foster Street Suite 105,"Dothan, AL 36303-4568",(334) 794-9680,(334) 671-1480,Roby,36303-4568
IA01,US Representative,US House of Representatives,The Honorable Bruce L. Braley,350 West 6th Street Suite 222,"Dubuque, IA 52001-4648",(563) 557-7789,(563) 557-1324,Braley,52001-4648
OK02,US Representative,US House of Representatives,The Honorable Dan Boren,112 North 12th Avenue ,"Durant, OK 74701-4718",(580) 931-0333,(580) 920-0041,Boren,74701-4718
NC04,US Representative,US House of Representatives,The Honorable David E. Price,411 West Chapel Hill Street Ninth Floor,"Durham, NC 27701-3616",(919) 688-3004,(919) 688-0940,Price,27701-3616
TX23,US Representative,US House of Representatives,The Honorable Francisco R. Canseco,100 South Monroe ,"Eagle Pass, TX 78852-4830",(830) 758-0398,,Canseco,78852-4830
PA15,US Representative,US House of Representatives,The Honorable Charlie W. Dent,206 Main Street ,"East Greenville, PA 18041-1405",(215) 541-4106,(215) 541-4109,Dent,18041-1405
IL12,US Representative,US House of Representatives,The Honorable Jerry F. Costello,8787 State Street Suite 102,"East St. Louis, IL 62203-2026",(618) 397-8833,(618) 397-7065,Costello,62203-2026
WI03,US Representative,US House of Representatives,The Honorable Ron Kind,131 South Barstow Street Suite 301,"Eau Claire, WI 54701-2625",(715) 831-9214,(715) 831-9272,Kind,54701-2625
MN03,US Representative,US House of Representatives,The Honorable Erik Paulsen,250 Prairie Center Drive Suite 230,"Eden Prairie, MN 55344-7904",(952) 405-8510,(952) 405-8514,Paulsen,55344-7904
TX15,US Representative,US House of Representatives,The Honorable Ruben Hinojosa,2864 West Trenton Road ,"Edinburg, TX 78539-9232",(956) 682-5545,(956) 682-0141,Hinojosa,78539-9232
CA52,US Representative,US House of Representatives,The Honorable Duncan D. Hunter,1870 Cordell Court Suite 206,"El Cajon, CA 92020-0916",(619) 448-5201,(619) 449-2251,Hunter,92020-0916
AR04,US Representative,US House of Representatives,The Honorable Mike A. Ross,101 North Washington Street Suite 406,"El Dorado, AR 71730-5669",(870) 881-0681,(870) 881-0683,Ross,71730-5669
CA32,US Representative,US House of Representatives,The Honorable Judy Chu,4401 Santa Anita Avenue Suite 211,"El Monte, CA 91731-1611",(626) 448-1271,(626) 448-8062,Chu,91731-1611
TX16,US Representative,US House of Representatives,The Honorable Silvestre Reyes,310 North Mesa Street Suite 400,"El Paso, TX 79901-1301",(915) 534-4400,(915) 534-7426,Reyes,79901-1301
NJ10,US Representative,US House of Representatives,The Honorable Donald M. Payne,333 North Broad Street ,"Elizabeth, NJ 07208-3706",(908) 629-0222,(908) 629-0221,Payne,07208-3706
NV02,US Representative,US House of Representatives,The Honorable Dean Heller,405 Idaho Street Suite 214,"Elko, NV 89801-3753",(775) 777-7920,(775) 777-8974,Heller,89801-3753
MD07,US Representative,US House of Representatives,The Honorable Elijah E. Cummings,8267 Main Street Room 102,"Ellicott City, MD 21043-9903",(410) 465-8259,(410) 465-8740,Cummings,21043-9903
VA04,US Representative,US House of Representatives,The Honorable J. Randy Forbes,425 South Main Street Suite H,"Emporia, VA 23847-2300",(434) 634-5575,(434) 634-0511,Forbes,23847-2300
CT02,US Representative,US House of Representatives,The Honorable Joe Courtney,77 Hazard Avenue Unit J,"Enfield, CT 06082-3890",(860) 741-6011,(860) 741-6036,Courtney,06082-3890
TX06,US Representative,US House of Representatives,The Honorable Joe Barton,2106-A West Ennis Avenue ,"Ennis, TX 75119-3624",(972) 875-8488,(972) 875-1907,Barton,75119-3624
PA03,US Representative,US House of Representatives,The Honorable Mike Kelly,208 East Bayfront Parkway Suite 102,"Erie, PA 16507-2405",(814) 454-8190,(814) 454-0163,Kelly,16507-2405
OR04,US Representative,US House of Representatives,The Honorable Peter A. DeFazio,405 East Eighth Avenue Suite 2030,"Eugene, OR 97401-2716",(541) 465-6732,(541) 465-6458,DeFazio,97401-2716
CA01,US Representative,US House of Representatives,The Honorable Mike C. Thompson,317 Third Street Suite One,"Eureka, CA 95501-0487",(707) 269-9595,(707) 269-9598,Thompson,95501-0487
GA10,US Representative,US House of Representatives,The Honorable Paul Broun,4246 Washington Road Suite 6,"Evans, GA 30809-3087",(706) 447-3857,(706) 868-8756,Broun,30809-3087
IL09,US Representative,US House of Representatives,The Honorable Jan D. Schakowsky,820 Davis Street Suite 105,"Evanston, IL 60201-4400",(847) 328-3409,(847) 328-3425,Schakowsky,60201-4400
IN08,US Representative,US House of Representatives,The Honorable Larry Bucshon,101 NW Martin Luther King Jr. Boulevard Room 124,"Evansville, IN 47708-1951",(812) 465-6484,(812) 422-4761,Bucshon,47708-1951
WA02,US Representative,US House of Representatives,The Honorable Rick Larsen,2930 Wetmore Avenue Suite 9F,"Everett, WA 98201-4070",(425) 252-3188,(425) 252-6606,Larsen,98201-4070
PA06,US Representative,US House of Representatives,The Honorable Jim Gerlach,111 East Uwchlan Avenue ,"Exton, PA 19341-1206",(610) 594-1415,(610) 594-1419,Gerlach,19341-1206
AK01,US Representative,US House of Representatives,The Honorable Don Young,101 12th Avenue Room 10,"Fairbanks, AK 99701-6275",(907) 456-0210,(907) 456-0279,Young,99701-6275
CA10,US Representative,US House of Representatives,The Honorable John Garamendi, Suite 201,"Fairfield, CA 94533-5556",(707) 438-1822,(707) 438-0523,Garamendi,94533-5556
MA03,US Representative,US House of Representatives,The Honorable Jim P. McGovern,371 South Main Street Suite 102,"Fall River, MA 02721-5304",(508) 677-0140,(508) 677-0992,McGovern,02721-5304
NY06,US Representative,US House of Representatives,The Honorable Gregory W. Meeks,1931 Mott Avenue Room 305,"Far Rockaway, NY 11691-4103",(718) 327-9791,(718) 327-4722,Meeks,11691-4103
ND01,US Representative,US House of Representatives,The Honorable Rick Berg,3003 32 Avenue South Suite 6,"Fargo, ND 58103-6163",(701) 235-9760,(701) 235-9767,Berg,58103-6163
MO08,US Representative,US House of Representatives,The Honorable Jo Ann Emerson,22 East Columbia Street ,"Farmington, MO 63640-3101",(573) 756-9755,(573) 756-9762,Emerson,63640-3101
NM03,US Representative,US House of Representatives,The Honorable Ben Ray Lujan,800 Municipal Drive ,"Farmington, NM 87401-2663",(505) 324-1005,(505) 324-1026,Lujan,87401-2663
NC07,US Representative,US House of Representatives,The Honorable Mike McIntyre,301 Green Street Room 218,"Fayetteville, NC 28301-5048",(910) 323-0260,(910) 323-0069,McIntyre,28301-5048
NC08,US Representative,US House of Representatives,The Honorable Larry Kissell,6257 Raeford Road Suite 2,"Fayetteville, NC 28304-2450",(910) 920-2070,(910) 920-2069,Kissell,28304-2450
OH04,US Representative,US House of Representatives,The Honorable Jim Jordan,100 East Main Cross Suite 101,"Findlay, OH 45840-4888",(419) 423-3210,(419) 423-3233,Jordan,45840-4888
NY19,US Representative,US House of Representatives,The Honorable Nan Hayworth,2 Summit Court Suite 103,"Fishkill, NY 12524",(845) 206-4600,(866) 921-3842,Hayworth,12524
MA01,US Representative,US House of Representatives,The Honorable John W. Olver,463 Main Street ,"Fitchburg, MA 01420-8045",(978) 342-8722,(978) 343-8156,Olver,01420-8045
AZ01,US Representative,US House of Representatives,The Honorable Paul A. Gosar,15115 East Cedar Avenue Unit #A6,"Flagstaff, AZ 86004",(928) 214-6055,(928) 214-6124,Gosar,86004
NJ07,US Representative,US House of Representatives,The Honorable Leonard Lance,23 Royal Road Suite 101,"Flemington, NJ 08822-6001",(908) 788-6900,(908) 788-2869,Lance,08822-6001
MI05,US Representative,US House of Representatives,The Honorable Dale E. Kildee,432 North Saginaw Street Suite 410,"Flint, MI 48502-2018",(810) 239-1437,(810) 239-1439,Kildee,48502-2018
SC06,US Representative,US House of Representatives,The Honorable James E. Clyburn,181 East Evans Street Suite 314,"Florence, SC 29506-2511",(843) 662-1212,(843) 662-8474,Clyburn,29506-2511
AL01,US Representative,US House of Representatives,The Honorable Jo Bonner,1302 North McKenzie Street ,"Foley, AL 36535-2232",(251) 943-2073,(251) 943-2093,Bonner,36535-2232
WI06,US Representative,US House of Representatives,The Honorable Tom E. Petri,490 West Rolling Meadows Drive Suite B,"Fond du Lac, WI 54937-8609",(920) 922-1180,(920) 922-4498,Petri,54937-8609
IA04,US Representative,US House of Representatives,The Honorable Tom Latham,1426 Central Avenue Suite A,"Fort Dodge, IA 50501-4258",(515) 573-2738,(515) 576-7141,Latham,50501-4258
FL22,US Representative,US House of Representatives,The Honorable Allen B. West,6300 Northeast First Avenue Suite 100,"Fort Lauderdale, FL 33301-1941",(866) 713-7303,,West,33301-1941
FL23,US Representative,US House of Representatives,The Honorable Alcee L. Hastings,2701 West Oakland Park Boulevard Suite 200,"Fort Lauderdale, FL 33311-1363",(954) 733-2800,(954) 735-9444,Hastings,33311-1363
KY04,US Representative,US House of Representatives,The Honorable Geoff Davis,300 Buttermilk Pike Suite 314,"Fort Mitchell, KY 41017-2136",(859) 426-0080,(859) 426-0061,Davis,41017-2136
FL16,US Representative,US House of Representatives,The Honorable Thomas J. Rooney,2300 Virginia Avenue Suite 208,"Fort Pierce, FL 34982-5632",(772) 461-3933,(772) 461-1594,Rooney,34982-5632
AR03,US Representative,US House of Representatives,The Honorable Steve Womack,423 North 6th Street ,"Fort Smith, AR 72902-2003",(479) 782-7787,(479) 783-7662,Womack,72902-2003
TX23,US Representative,US House of Representatives,The Honorable Francisco R. Canseco,103 West Callaghan ,"Fort Stockton, TX 79735-7104",(434) 336-8314,(432) 336-8517,Canseco,79735-7104
FL01,US Representative,US House of Representatives,The Honorable Jeff B. Miller,348 SW Miracle Strip Parkway Suite 24,"Fort Walton Beach, FL 32548-5263",(850) 664-1266,(850) 664-0851,Miller,32548-5263
IN03,US Representative,US House of Representatives,The Honorable Marlin A. Stutzman,1300 South Harrison Street Room 3105,"Fort Wayne, IN 46802-3446",(260) 424-3041,(260) 424-4042,Stutzman,46802-3446
TX12,US Representative,US House of Representatives,The Honorable Kay Granger,1701 River Run Road Suite 407,"Fort Worth, TX 76107-6548",(817) 338-0909,(817) 335-5852,Granger,76107-6548
TX26,US Representative,US House of Representatives,The Honorable Michael C. Burgess,1100 Circle Drive Suite 200,"Fort Worth, TX 76119-8111",(817) 531-8454,(817) 531-4570,Burgess,76119-8111
IL08,US Representative,US House of Representatives,The Honorable Joe Walsh,50 East Grand Avenue ,"Fox Lake, IL 60073-1430",(847) 973-9341,(847) 973-9451,Walsh,60073-1430
MA07,US Representative,US House of Representatives,The Honorable Edward J. Markey,188 Concord Street Suite 102,"Framingham, MA 01702-8315",(508) 875-2900,(508) 370-8165,Markey,01702-8315
TN07,US Representative,US House of Representatives,The Honorable Marsha Blackburn,198 Third Avenue South Suite 1,"Franklin, TN 37064-2518",(615) 591-5161,(615) 599-2916,Blackburn,37064-2518
MD06,US Representative,US House of Representatives,The Honorable Roscoe G. Bartlett,7360 Guilford Drive Suite 101,"Frederick, MD 21704-5128",(301) 694-3030,(301) 694-6674,Bartlett,21704-5128
VA01,US Representative,US House of Representatives,The Honorable Rob Wittman,3504 Plank Road Suite 203,"Fredericksburg, VA 22407-6896",(540) 548-1086,(540) 548-1658,Wittman,22407-6896
CA13,US Representative,US House of Representatives,The Honorable Pete Stark,39300 Civic Center Drive Suite 220,"Fremont, CA 94538-2324",(510) 494-1388,(510) 494-5852,Stark,94538-2324
NE01,US Representative,US House of Representatives,The Honorable Jeff Fortenberry,PO Box 377 ,"Fremont, NE 68026-0377",(402) 727-0888,(402) 727-9130,Fortenberry,68026-0377
CA19,US Representative,US House of Representatives,The Honorable Jeff Denham,1040 East Herndon Avenue Room 201,"Fresno, CA 93720-3158",(559) 449-2490,(559) 449-2499,Denham,93720-3158
CA20,US Representative,US House of Representatives,The Honorable Jim Costa,855 M Street Suite 940,"Fresno, CA 93721-2757",(559) 495-1620,(559) 495-1027,Costa,93721-2757
CO02,US Representative,US House of Representatives,The Honorable Jared Polis,PO Box 1453 ,"Frisco, CO 80443-1453",(970) 668-3240,(970) 668-9830,Polis,80443-1453
CA01,US Representative,US House of Representatives,The Honorable Mike C. Thompson,PO Box 2208 ,"Ft. Bragg, CA 95437-2208",(707) 962-0933,(707) 962-0934,Thompson,95437-2208
CO04,US Representative,US House of Representatives,The Honorable Cory Gardner,123 North College Avenue Suite 220,"Ft. Collins, CO 80524-2489",(970) 221-7110,(970) 221-7240,Gardner,80524-2489
AL04,US Representative,US House of Representatives,The Honorable Robert B. Aderholt,600 Broad Street Suite 107,"Gadsden, AL 35901-3745",(256) 546-0201,(256) 546-8778,Aderholt,35901-3745
FL06,US Representative,US House of Representatives,The Honorable Cliff B. Stearns,5700 Southwest 34th Street Suite 425,"Gainesville, FL 32608-5329",(352) 337-0003,(352) 337-0034,Stearns,32608-5329
GA09,US Representative,US House of Representatives,The Honorable Tom Graves,PO Box 1015 ,"Gainesville, GA 30503",(770) 535-2592,(770) 535-2765,Graves,30503
NM03,US Representative,US House of Representatives,The Honorable Ben Ray Lujan,110 West Aztec Avenue ,"Gallup, NM 87301-6202",(505) 863-0582,(505) 863-0678,Lujan,87301-6202
TX14,US Representative,US House of Representatives,The Honorable Ron Paul,601 25th Street Suite 216,"Galveston, TX 77550-1738",(409) 766-7013,(409) 765-7036,Paul,77550-1738
NY04,US Representative,US House of Representatives,The Honorable Carolyn McCarthy,300 Garden City Plaza Suite 200,"Garden City, NY 11530-3338",(516) 739-3008,(516) 739-2973,McCarthy,11530-3338
CA47,US Representative,US House of Representatives,The Honorable Loretta Sanchez,12397 Lewis Street Suite 101,"Garden Grove, CA 92840-4695",(714) 621-0102,(714) 621-0401,Sanchez,92840-4695
NC09,US Representative,US House of Representatives,The Honorable Sue Wilkins Myrick,197 West Main Street ,"Gastonia, NC 28052-4154",(704) 861-1976,(704) 864-2445,Myrick,28052-4154
MI01,US Representative,US House of Representatives,The Honorable Dan J. Benishek,810 Otsego Avenue Suite 105,"Gaylord, MI 49770-1780",(989) 448-8811,(989) 448-8858,Benishek,49770-1780
IL14,US Representative,US House of Representatives,The Honorable Randy Hultgren,100 West Main Street ,"Geneseo, IL 61254",(815) 288-1174,,Hultgren,61254
